#{"t_start": 1782999744.414241, "env_id": "CartPole-v1"}
r,l,t,original_reward,shaped_reward
34.852087,38,0.061579,38.0,34.85208743810654
11.925093,13,0.073076,13.0,11.925092816352844
24.467357,27,0.096671,27.0,24.46735692024231
12.600109,14,0.110687,14.0,12.600108921527863
37.595508,42,0.145729,42.0,37.595508098602295
8.124918,9,0.15274,9.0,8.124917805194855
11.347878,13,0.16275,13.0,11.34787803888321
17.580172,20,0.177763,20.0,17.5801722407341
17.66091,19,0.191787,19.0,17.66090953350067
9.743074,11,0.200798,11.0,9.743074297904968
12.701284,14,0.211825,14.0,12.701284229755402
48.09092,51,0.253684,51.0,48.090919971466064
22.867137,24,0.270703,24.0,22.867137491703033
11.609294,13,0.279704,13.0,11.60929399728775
11.922193,13,0.291358,13.0,11.922192931175232
26.622742,29,0.313895,29.0,26.622742176055908
17.854198,20,0.327955,20.0,17.854198455810547
9.195493,10,0.336092,10.0,9.195493280887604
9.784427,11,0.345117,11.0,9.784427046775818
11.718064,13,0.354127,13.0,11.718063950538635
30.990842,33,0.378181,33.0,30.990841805934906
13.816361,15,0.390709,15.0,13.816360592842102
24.458991,26,0.409728,26.0,24.458990514278412
37.34964,40,0.441841,40.0,37.3496395945549
13.854871,15,0.453986,15.0,13.854871451854706
17.209499,19,0.468096,19.0,17.209498524665833
25.794626,29,0.493184,29.0,25.794625639915466
12.684335,14,0.50327,14.0,12.68433541059494
47.003741,53,0.555063,53.0,47.003740668296814
25.133941,29,0.588002,29.0,25.133940637111664
15.495304,17,0.605551,17.0,15.49530440568924
9.643374,11,0.617078,11.0,9.643373668193817
7.084333,8,0.624617,8.0,7.084332823753357
17.393878,19,0.643772,19.0,17.39387810230255
11.576509,13,0.655784,13.0,11.576508939266205
24.610295,27,0.692851,27.0,24.61029487848282
10.575529,12,0.70785,12.0,10.575528919696808
18.409432,20,0.725594,20.0,18.40943205356598
11.914213,13,0.736122,13.0,11.9142125248909
19.392758,21,0.757139,21.0,19.392757892608643
21.277182,23,0.781174,23.0,21.27718186378479
13.397119,15,0.806739,15.0,13.397119164466858
12.603687,14,0.82429,14.0,12.603686571121216
9.820388,11,0.836341,11.0,9.820388376712799
46.497903,51,0.890956,51.0,46.49790316820145
14.57325,16,0.909348,16.0,14.573249757289886
18.48186,20,0.927858,20.0,18.481859743595123
22.086602,24,0.94993,24.0,22.08660215139389
14.494345,16,0.964905,16.0,14.49434494972229
35.820973,39,1.009411,39.0,35.82097327709198
10.784491,12,1.021485,12.0,10.784491419792175
11.992277,13,1.035013,13.0,11.992276906967163
15.628649,17,1.055046,17.0,15.62864899635315
20.065478,21,1.076062,21.0,20.0654776096344
9.98288,11,1.088096,11.0,9.982880473136902
14.011182,15,1.101101,15.0,14.011181652545929
10.740598,12,1.114632,12.0,10.74059772491455
10.684389,12,1.126698,12.0,10.684388875961304
36.746719,41,1.161762,41.0,36.74671936035156
25.808667,28,1.189761,28.0,25.808667242527008
10.786921,12,1.199759,12.0,10.786920964717865
