#{"t_start": 1783783129.732087, "env_id": "MountainCar-v0"}
r,l,t,original_reward,shaped_reward
-197.204096,200,0.122342,-200.0,-197.20409560203552
-195.664593,200,0.222656,-200.0,-195.66459316015244
-197.591582,200,0.314715,-200.0,-197.59158200025558
-193.25313,200,0.412841,-200.0,-193.25313007831573
-195.238011,200,0.505632,-200.0,-195.23801136016846
-192.490337,200,0.60167,-200.0,-192.49033653736115
-197.036929,200,0.693518,-200.0,-197.0369287133217
-186.270938,200,0.787365,-200.0,-186.27093797922134
-196.314403,200,0.88323,-200.0,-196.31440258026123
-191.907037,200,0.976927,-200.0,-191.90703701972961
-180.06033,200,1.876515,-200.0,-180.06032985448837
-190.187885,200,1.979737,-200.0,-190.18788474798203
-198.250244,200,2.071738,-200.0,-198.25024431943893
-195.9204,200,2.164783,-200.0,-195.92040008306503
-198.468822,200,2.254974,-200.0,-198.4688218832016
-199.135603,200,2.354484,-200.0,-199.13560342788696
-196.917319,200,2.46162,-200.0,-196.91731852293015
-197.051666,200,2.567908,-200.0,-197.05166637897491
-194.103713,200,2.667759,-200.0,-194.10371255874634
-197.020208,200,2.758205,-200.0,-197.0202084183693
-193.522191,200,3.724035,-200.0,-193.52219092845917
-192.670227,200,3.829937,-200.0,-192.67022651433945
-189.726979,200,3.925703,-200.0,-189.72697913646698
-195.5847,200,4.018106,-200.0,-195.58469998836517
-194.058991,200,4.112979,-200.0,-194.0589913725853
-196.882237,200,4.907664,-200.0,-196.88223665952682
-193.955397,200,4.997812,-200.0,-193.95539724826813
-197.210839,200,5.101884,-200.0,-197.2108387351036
-198.268087,200,5.19523,-200.0,-198.26808726787567
-194.072419,200,5.2922,-200.0,-194.07241863012314
-196.690462,200,6.223256,-200.0,-196.6904620528221
-194.755176,200,6.332114,-200.0,-194.75517624616623
-193.71207,200,6.431293,-200.0,-193.7120703458786
-196.499689,200,6.522897,-200.0,-196.49968934059143
-196.484103,200,6.617308,-200.0,-196.48410254716873
-191.192388,200,6.716197,-200.0,-191.19238770008087
-196.355499,200,6.810821,-200.0,-196.3554990887642
-196.129966,200,6.90827,-200.0,-196.1299661397934
-197.696554,200,7.00422,-200.0,-197.6965542435646
-197.043922,200,7.097125,-200.0,-197.04392158985138
-190.800201,200,8.089706,-200.0,-190.8002011179924
-191.579765,200,8.196477,-200.0,-191.57976526021957
-196.863654,200,8.298863,-200.0,-196.86365365982056
-198.354642,200,8.399226,-200.0,-198.35464191436768
-191.250711,200,8.494311,-200.0,-191.25071108341217
-198.069707,200,8.589359,-200.0,-198.06970715522766
-197.371646,200,8.681273,-200.0,-197.37164616584778
-195.657478,200,8.775172,-200.0,-195.65747785568237
-197.19993,200,8.868843,-200.0,-197.19993025064468
-188.106963,200,8.963957,-200.0,-188.10696309804916
-192.882541,200,9.74602,-200.0,-192.8825405240059
-196.806691,200,10.658112,-200.0,-196.8066908121109
-192.315727,200,10.762058,-200.0,-192.315727353096
-198.107921,200,10.852324,-200.0,-198.10792076587677
-191.593325,200,10.946247,-200.0,-191.5933250784874
-199.240948,200,11.044188,-200.0,-199.24094808101654
-198.56589,200,11.142347,-200.0,-198.56589037179947
-191.538097,200,11.232963,-200.0,-191.5380973815918
-196.155733,200,11.327311,-200.0,-196.1557332277298
-199.170875,200,11.419912,-200.0,-199.17087531089783
-195.909535,200,11.514064,-200.0,-195.9095349907875
-198.52327,200,12.452076,-200.0,-198.52326995134354
-196.620998,200,12.559567,-200.0,-196.6209980249405
-191.728461,200,12.652391,-200.0,-191.72846108675003
-186.651428,200,12.775454,-200.0,-186.65142846107483
-198.627409,200,12.877663,-200.0,-198.62740921974182
-190.948021,200,12.967441,-200.0,-190.94802111387253
