#{"t_start": 1783843718.9614933, "env_id": "LunarLander-v3"}
r,l,t,original_reward,shaped_reward
-607.02144,114,0.086197,-432.6838207711943,-607.0214401185513
-599.395039,102,0.139635,-429.10796575868636,-599.3950385600328
-288.855378,105,0.197935,-176.0843742755755,-288.85537775605917
-227.154257,80,0.240969,-139.36823889358004,-227.15425683557987
-479.850637,86,0.286061,-334.03178809964174,-479.85063683986664
-158.495151,70,0.325079,-100.93658517503883,-158.49515116214752
-281.262644,81,0.367932,-172.15204091798387,-281.2626442313194
-273.069944,101,0.419802,-194.59122833284385,-273.06994380336255
-544.8904,122,0.490384,-402.6853076696551,-544.890400134027
-206.728768,56,0.523208,-147.74075696288762,-206.7287680208683
-209.447656,82,0.564226,-131.9094608784018,-209.44765557348728
-762.68367,97,0.617979,-577.6880868455041,-762.6836696565151
-191.899075,104,0.673849,-117.69838579730617,-191.89907505363226
-198.071531,81,0.714908,-103.76298254038514,-198.0715314745903
-170.022269,98,0.766953,-102.67400219077672,-170.02226866036654
-189.724831,87,0.814295,-107.03450026412582,-189.72483059763908
-146.78568,62,0.848646,-82.65273329762078,-146.7856795489788
-137.480647,67,0.887375,-54.69171957180027,-137.48064664006233
-266.300113,74,0.925918,-175.80798247110246,-266.3001125603914
-153.371722,74,0.963951,-109.56167021327195,-153.371721804142
-132.746518,64,0.995993,-72.70296658861562,-132.74651822447777
-270.313013,99,1.059967,-176.22071381507502,-270.3130129063502
-252.744046,115,1.127125,-146.11551096882957,-252.74404625594616
-148.674124,65,1.962297,-88.9122381504132,-148.67412409186363
-207.008819,94,2.01122,-123.81176979824937,-207.00881899148226
-267.674738,105,2.068763,-173.32251974093737,-267.67473843693733
-208.686491,79,2.11514,-144.4218849218746,-208.6864910721779
-116.414109,66,2.164006,-65.26825204759709,-116.41410897672176
-318.012897,115,2.230091,-176.33937021906098,-318.0128972232342
-140.43951,89,2.278247,-101.0716386688371,-140.4395101070404
-69.626346,73,2.316864,-8.839024329516931,-69.62634597718716
-92.369918,71,2.355829,-46.19677654236512,-92.369918435812
-140.557095,67,2.394225,-79.5890499447635,-140.55709536373615
-198.308963,126,2.458819,-108.36715141756912,-198.30896297842264
-302.586904,115,2.51998,-177.49956220695978,-302.58690367639065
-172.551793,81,2.564002,-101.81547202301354,-172.55179309658706
-128.782716,64,2.597053,-79.60118853962233,-128.78271567821503
-147.53477,72,2.6371,-90.78489330405117,-147.53476950526237
-227.631268,89,2.685591,-149.63712494667107,-227.6312675923109
-249.13817,65,2.71965,-161.3419005902535,-249.13817013800144
-275.16654,123,2.78508,-145.87269429756392,-275.16653963923454
-350.737792,156,2.86719,-216.38849612773566,-350.73779217898846
-98.242844,117,2.926251,-54.43705332794508,-98.24284409359097
-115.901451,66,2.958783,-71.27062183808097,-115.90145096182823
-184.916317,127,3.026946,-126.65288647243071,-184.9163165986538
-221.145718,73,3.798895,-133.92048033610905,-221.14571806788445
-416.220834,104,3.858277,-273.44839672769984,-416.2208335995674
-86.094113,89,3.904238,-41.50627642340231,-86.0941125229001
-212.905792,116,3.962787,-128.29041742192265,-212.90579164028168
-109.575831,120,4.022852,-59.212381158954884,-109.57583138905466
-210.37128,109,4.07901,-119.72519157846746,-210.37127957865596
-129.841765,65,4.112029,-71.01126407377492,-129.841765075922
-465.84149,100,4.164029,-316.745604309457,-465.8414902687073
-508.747014,109,4.241184,-372.03998749079994,-508.7470139116049
-178.324245,86,5.331973,-126.61129947018884,-178.32424461841583
-131.11058,67,5.370257,-79.60202408613353,-131.1105800010264
-430.23739,89,5.417231,-290.71560749766877,-430.2373895049095
-123.598886,78,5.460825,-64.72585414033298,-123.5988864004612
-241.45491,91,5.513907,-135.97089392930482,-241.4549103602767
-198.47689,119,5.57633,-117.68123970322678,-198.4768896624446
-152.611974,116,5.636978,-76.09603148137819,-152.61197412014008
-325.799835,105,5.696082,-220.69018428579687,-325.7998347431421
-392.359431,104,5.753723,-270.42831846509347,-392.35943115502596
-163.751219,86,5.796744,-92.23037798144976,-163.75121939182281
-317.562598,116,5.860789,-195.55986369978314,-317.5625983159989
-315.97207,87,5.904691,-200.72460115440236,-315.9720697402954
-322.959884,149,6.777377,-169.41032460089042,-322.959884211421
-223.581879,90,6.826138,-129.96212344446786,-223.58187909424305
-162.754835,117,6.970388,-67.40514174700711,-162.75483529269695
-117.631401,75,7.024249,-68.76676952182004,-117.6314010694623
-237.800052,114,7.085075,-135.06941172650605,-237.80005183815956
-167.059936,126,7.149318,-88.08758664352546,-167.0599360615015
-277.571696,124,7.212312,-156.2191560119836,-277.5716961622238
-174.273611,104,7.265374,-112.686767629571,-174.273611176759
-208.447952,114,7.329863,-109.00592279780867,-208.4479522407055
-227.38821,117,7.394909,-137.95591527008895,-227.38821023702621
-218.371864,76,7.436939,-126.53106636507276,-218.3718636929989
-251.325051,122,7.501037,-135.18073825086816,-251.32505138032138
-140.398781,84,7.543895,-86.49132802630585,-140.39878095686436
-130.186695,65,7.58043,-92.46772348001068,-130.1866950392723
-142.546441,102,7.632015,-104.20848645992459,-142.5464413613081
-115.456845,72,7.676272,-75.53165084584181,-115.45684493333101
-205.456638,101,7.730688,-126.5308887911433,-205.4566376954317
-173.674044,110,7.787968,-103.27825950418679,-173.67404384166002
-116.077624,96,7.837123,-65.67354658766459,-116.0776238180697
-226.653311,100,7.888581,-128.28247757435417,-226.65331146121025
-137.890329,77,8.679087,-77.41845130054247,-137.89032949134707
-175.252321,118,8.744738,-101.01353898938042,-175.2523209154606
-134.857451,76,8.784992,-78.44218069023442,-134.85745127499104
-149.090859,74,8.824928,-78.89507076995486,-149.09085884317756
-111.603344,116,8.887054,13.068329323786742,-111.60334404557943
-148.185386,88,8.934728,-79.49134395876185,-148.1853857859969
-360.846887,141,9.010794,-219.93783981018942,-360.8468873798847
-96.207119,84,9.057867,-49.5621693110801,-96.2071192599833
-177.725103,102,9.110133,-79.90642081765304,-177.72510296106339
-385.097671,110,9.166761,-248.8384928743912,-385.0976713076234
-319.263875,130,9.237103,-187.776813295701,-319.2638749703765
-123.691922,88,9.288793,-76.27761838778599,-123.69192197918892
-591.935601,151,9.369966,-369.53141176820964,-591.9356007650495
-243.746548,108,9.425815,-145.0642947461417,-243.74654759466648
-218.494699,97,9.476475,-116.19233090795271,-218.49469855427742
-233.644685,147,9.552087,-132.5535700098168,-233.64468458574265
-66.960001,102,9.607986,-27.633155000355828,-66.9600014090538
-315.195085,94,10.28838,-213.90132317139847,-315.19508522748947
-264.953061,105,10.342086,-164.78939223765485,-264.9530611746013
-252.849451,93,10.395784,-148.82348168293782,-252.84945058822632
-112.845343,81,11.163727,-58.84933320369555,-112.84534254670143
-225.545828,143,11.241087,-112.30291140019159,-225.54582773149014
-447.539293,147,11.320752,-312.81304218328376,-447.5392929315567
-247.453419,148,11.40061,-113.31474818087653,-247.4534189403057
-150.159783,70,11.439166,-74.3043467441704,-150.15978315472603
-160.156039,129,11.506692,-90.47667997955465,-160.1560389623046
-183.839879,171,11.591957,-95.39998323658892,-183.83987867087126
-60.019175,107,11.64888,34.32449759457279,-60.019174952059984
-492.668081,165,11.760618,-325.04389542307615,-492.6680807117373
-132.050042,96,11.822705,-73.15983149089067,-132.0500416904688
-481.768432,112,11.88774,-311.17669593419475,-481.76843198388815
-273.628868,117,11.949145,-157.37566057842997,-273.628868188709
