#{"t_start": 1782993743.0489576, "env_id": "CartPole-v1"}
r,l,t,original_reward,shaped_reward
38.0,38,0.042551,38.0,38.0
13.0,13,0.051065,13.0,13.0
27.0,27,0.071577,27.0,27.0
14.0,14,0.081671,14.0,14.0
42.0,42,0.112202,42.0,42.0
9.0,9,0.118744,9.0,9.0
13.0,13,0.127897,13.0,13.0
20.0,20,0.1399,20.0,20.0
19.0,19,0.153904,19.0,19.0
11.0,11,0.162437,11.0,11.0
14.0,14,0.172952,14.0,14.0
51.0,51,0.209007,51.0,51.0
24.0,24,0.224029,24.0,24.0
13.0,13,0.232028,13.0,13.0
13.0,13,0.240303,13.0,13.0
29.0,29,0.257829,29.0,29.0
20.0,20,0.271371,20.0,20.0
10.0,10,0.277912,10.0,10.0
11.0,11,0.288932,11.0,11.0
13.0,13,0.300944,13.0,13.0
33.0,33,0.324617,33.0,33.0
15.0,15,0.333616,15.0,15.0
26.0,26,0.349616,26.0,26.0
40.0,40,0.392478,40.0,40.0
15.0,15,0.401019,15.0,15.0
19.0,19,0.413611,19.0,19.0
29.0,29,0.43075,29.0,29.0
14.0,14,0.441675,14.0,14.0
53.0,53,0.478538,53.0,53.0
29.0,29,0.501846,29.0,29.0
17.0,17,0.512819,17.0,17.0
11.0,11,0.522411,11.0,11.0
8.0,8,0.52968,8.0,8.0
19.0,19,0.548727,19.0,19.0
13.0,13,0.557592,13.0,13.0
27.0,27,0.574591,27.0,27.0
12.0,12,0.583597,12.0,12.0
20.0,20,0.598606,20.0,20.0
13.0,13,0.615916,13.0,13.0
21.0,21,0.631918,21.0,21.0
23.0,23,0.651408,23.0,23.0
15.0,15,0.660964,15.0,15.0
14.0,14,0.669966,14.0,14.0
11.0,11,0.677966,11.0,11.0
51.0,51,0.711532,51.0,51.0
16.0,16,0.722073,16.0,16.0
20.0,20,0.736073,20.0,20.0
24.0,24,0.751672,24.0,24.0
16.0,16,0.761678,16.0,16.0
39.0,39,0.784788,39.0,39.0
12.0,12,0.792067,12.0,12.0
13.0,13,0.800078,13.0,13.0
17.0,17,0.811593,17.0,17.0
21.0,21,0.825661,21.0,21.0
11.0,11,0.831659,11.0,11.0
15.0,15,0.843702,15.0,15.0
12.0,12,0.851242,12.0,12.0
12.0,12,0.859788,12.0,12.0
41.0,41,0.889135,41.0,41.0
28.0,28,0.906451,28.0,28.0
12.0,12,0.914073,12.0,12.0
14.0,14,0.923984,14.0,14.0
34.0,34,0.946698,34.0,34.0
36.0,36,0.970692,36.0,36.0
15.0,15,0.981728,15.0,15.0
20.0,20,0.996805,20.0,20.0
19.0,19,1.00882,19.0,19.0
20.0,20,1.020886,20.0,20.0
17.0,17,1.033905,17.0,17.0
14.0,14,1.041905,14.0,14.0
21.0,21,1.05589,21.0,21.0
11.0,11,1.06389,11.0,11.0
23.0,23,1.083001,23.0,23.0
14.0,14,1.092838,14.0,14.0
31.0,31,1.131951,31.0,31.0
16.0,16,1.154992,16.0,16.0
19.0,19,1.174018,19.0,19.0
34.0,34,1.208051,34.0,34.0
12.0,12,1.219167,12.0,12.0
58.0,58,1.267714,58.0,58.0
16.0,16,1.27774,16.0,16.0
11.0,11,1.28374,11.0,11.0
29.0,29,1.300763,29.0,29.0
25.0,25,1.315287,25.0,25.0
22.0,22,1.328833,22.0,22.0
22.0,22,1.342392,22.0,22.0
11.0,11,1.348951,11.0,11.0
17.0,17,1.359994,17.0,17.0
20.0,20,1.373155,20.0,20.0
14.0,14,1.380729,14.0,14.0
34.0,34,1.404072,34.0,34.0
22.0,22,1.417911,22.0,22.0
17.0,17,1.427922,17.0,17.0
14.0,14,1.4369,14.0,14.0
17.0,17,1.446912,17.0,17.0
22.0,22,1.459923,22.0,22.0
49.0,49,2.755668,49.0,49.0
14.0,14,2.765672,14.0,14.0
28.0,28,2.787726,28.0,28.0
