#{"t_start": 1783825874.2884133, "env_id": "LunarLander-v3"}
r,l,t,original_reward,shaped_reward
-62.976395,72,0.056654,-62.976394587161295,-62.976394587161295
-171.322981,85,0.098508,-171.32298134563396,-171.32298134563396
-111.145714,98,0.15008,-111.14571424484961,-111.14571424484961
-321.112084,92,0.197132,-321.1120836872392,-321.1120836872392
-212.139255,97,0.247914,-212.13925518889255,-212.13925518889255
-288.436481,81,0.289951,-288.43648056069577,-288.43648056069577
-76.995274,72,0.325999,-76.99527442757578,-76.99527442757578
-121.075347,84,0.367925,-121.07534701731143,-121.07534701731143
-108.158302,98,0.424286,-108.15830188194329,-108.15830188194329
-118.155223,74,0.473542,-118.15522324709858,-118.15522324709858
-114.567589,61,0.512119,-114.56758929186921,-114.56758929186921
-395.806153,130,0.576143,-395.806153368458,-395.806153368458
-99.444685,99,0.626124,-99.44468517631745,-99.44468517631745
-323.216346,110,0.682171,-323.2163458419964,-323.2163458419964
-109.222944,91,0.73016,-109.22294447155589,-109.22294447155589
-111.92712,77,0.771181,-111.92711981528666,-111.92711981528666
-136.926191,107,0.82987,-136.92619115118347,-136.92619115118347
-369.557415,117,0.895388,-369.5574153828611,-369.5574153828611
-280.046993,98,0.946336,-280.0469925844999,-280.0469925844999
-216.940612,138,1.024961,-216.94061213058188,-216.94061213058188
-80.197225,62,1.055984,-80.19722529459553,-80.19722529459553
-171.727831,68,1.091014,-171.72783090091914,-171.72783090091914
-130.258058,85,1.858263,-130.2580576731833,-130.2580576731833
-313.779048,137,1.933867,-313.7790477956746,-313.7790477956746
-122.990182,132,2.011363,-122.99018165250558,-122.99018165250558
-71.969539,68,2.048923,-71.96953935713373,-71.96953935713373
-225.374556,129,2.123949,-225.37455609847677,-225.37455609847677
-389.030285,93,2.179218,-389.0302845881083,-389.0302845881083
-135.145034,84,2.236616,-135.1450344975122,-135.1450344975122
-402.460925,130,2.307668,-402.4609250334818,-402.4609250334818
-240.683941,57,2.338256,-240.68394137615368,-240.68394137615368
-139.566254,115,2.410566,-139.5662540512683,-139.5662540512683
-76.504342,81,2.458593,-76.50434155466758,-76.50434155466758
-114.770919,80,2.502536,-114.77091913324747,-114.77091913324747
-289.601518,105,2.566939,-289.60151793167813,-289.60151793167813
-213.991895,74,2.618515,-213.99189547554025,-213.99189547554025
-52.662656,75,2.665987,-52.66265574460533,-52.66265574460533
42.721046,1000,3.95286,42.72104553628245,42.72104553628245
-123.115229,116,4.011576,-123.11522872551559,-123.11522872551559
-244.430303,127,4.078201,-244.43030347865397,-244.43030347865397
-75.306241,65,4.11374,-75.30624112084197,-75.30624112084197
-142.479083,106,4.169817,-142.47908309932785,-142.47908309932785
-129.335441,76,4.208321,-129.3354405027332,-129.3354405027332
-194.89487,79,4.818275,-194.89486979033066,-194.89486979033066
-284.738534,89,4.865052,-284.738534185053,-284.738534185053
-89.208947,76,4.905241,-89.20894709254246,-89.20894709254246
-76.513049,115,4.971205,-76.5130487647363,-76.5130487647363
7.883212,92,5.018214,7.883212492507511,7.883212492507511
-99.499883,65,5.054381,-99.49988263841989,-99.49988263841989
-85.733945,68,5.09097,-85.73394474450932,-85.73394474450932
-300.950407,82,5.131905,-300.95040745175993,-300.95040745175993
-250.467167,107,5.188078,-250.4671673901066,-250.4671673901066
-329.271213,92,5.237128,-329.271213398492,-329.271213398492
-201.556192,96,5.290218,-201.5561921780879,-201.5561921780879
-231.174719,122,5.353337,-231.17471895652784,-231.17471895652784
-113.012467,74,5.393627,-113.01246655641457,-113.01246655641457
-165.536463,106,6.190055,-165.53646325817505,-165.53646325817505
-24.496946,153,6.266944,-24.496946480752825,-24.496946480752825
-353.894976,108,6.326427,-353.89497576195777,-353.89497576195777
-64.978755,71,6.363199,-64.9787553884753,-64.9787553884753
-280.884592,150,6.441132,-280.8845917063685,-280.8845917063685
-15.48089,66,6.479204,-15.480890011865938,-15.480890011865938
-70.960352,131,6.550068,-70.96035179351223,-70.96035179351223
-390.165614,107,6.616188,-390.16561358630804,-390.16561358630804
-12.810892,83,6.663199,-12.810891744614665,-12.810891744614665
-301.147741,125,6.73192,-301.14774106191567,-301.14774106191567
