#{"t_start": 1783773188.5018601, "env_id": "MountainCar-v0"}
r,l,t,original_reward,shaped_reward
-200.0,200,0.12013,-200.0,-200.0
-200.0,200,0.223368,-200.0,-200.0
-200.0,200,0.317119,-200.0,-200.0
-200.0,200,0.418617,-200.0,-200.0
-200.0,200,0.523001,-200.0,-200.0
-200.0,200,0.625185,-200.0,-200.0
-200.0,200,0.742023,-200.0,-200.0
-200.0,200,0.839281,-200.0,-200.0
-200.0,200,0.934181,-200.0,-200.0
-200.0,200,1.03704,-200.0,-200.0
-200.0,200,2.057792,-200.0,-200.0
-200.0,200,2.161877,-200.0,-200.0
-200.0,200,2.252568,-200.0,-200.0
-200.0,200,2.370612,-200.0,-200.0
-200.0,200,2.481341,-200.0,-200.0
-200.0,200,2.584077,-200.0,-200.0
-200.0,200,2.69439,-200.0,-200.0
-200.0,200,2.792612,-200.0,-200.0
-200.0,200,2.887912,-200.0,-200.0
-200.0,200,2.990358,-200.0,-200.0
-200.0,200,3.94117,-200.0,-200.0
-200.0,200,4.0424,-200.0,-200.0
-200.0,200,4.142178,-200.0,-200.0
-200.0,200,4.240901,-200.0,-200.0
-200.0,200,4.343283,-200.0,-200.0
-200.0,200,5.170061,-200.0,-200.0
-200.0,200,5.263199,-200.0,-200.0
-200.0,200,5.364846,-200.0,-200.0
-200.0,200,5.466594,-200.0,-200.0
-200.0,200,5.571501,-200.0,-200.0
-200.0,200,6.547954,-200.0,-200.0
-200.0,200,6.648844,-200.0,-200.0
-200.0,200,6.750255,-200.0,-200.0
-200.0,200,6.840342,-200.0,-200.0
-200.0,200,6.942245,-200.0,-200.0
-200.0,200,7.046076,-200.0,-200.0
-200.0,200,7.142217,-200.0,-200.0
-200.0,200,7.247897,-200.0,-200.0
-200.0,200,7.35216,-200.0,-200.0
-200.0,200,7.454881,-200.0,-200.0
-200.0,200,8.450803,-200.0,-200.0
-200.0,200,8.557913,-200.0,-200.0
-200.0,200,8.661759,-200.0,-200.0
-200.0,200,8.759149,-200.0,-200.0
-200.0,200,8.856096,-200.0,-200.0
-200.0,200,8.955955,-200.0,-200.0
-200.0,200,9.058267,-200.0,-200.0
-200.0,200,9.151815,-200.0,-200.0
-200.0,200,9.247955,-200.0,-200.0
-200.0,200,9.355021,-200.0,-200.0
-200.0,200,10.157212,-200.0,-200.0
-200.0,200,11.138759,-200.0,-200.0
-200.0,200,11.240339,-200.0,-200.0
-200.0,200,11.330973,-200.0,-200.0
-200.0,200,11.425167,-200.0,-200.0
-200.0,200,11.525895,-200.0,-200.0
-200.0,200,11.627621,-200.0,-200.0
-200.0,200,11.729939,-200.0,-200.0
-200.0,200,11.832113,-200.0,-200.0
-200.0,200,11.930907,-200.0,-200.0
-200.0,200,12.031068,-200.0,-200.0
-200.0,200,13.079784,-200.0,-200.0
-200.0,200,13.184877,-200.0,-200.0
-200.0,200,13.280966,-200.0,-200.0
-200.0,200,13.38007,-200.0,-200.0
-200.0,200,13.478005,-200.0,-200.0
-200.0,200,13.585904,-200.0,-200.0
-200.0,200,13.682214,-200.0,-200.0
-200.0,200,13.776943,-200.0,-200.0
-200.0,200,13.87393,-200.0,-200.0
-200.0,200,13.962817,-200.0,-200.0
-200.0,200,14.965678,-200.0,-200.0
-200.0,200,15.07156,-200.0,-200.0
-200.0,200,15.174089,-200.0,-200.0
-200.0,200,15.266169,-200.0,-200.0
-200.0,200,16.092605,-200.0,-200.0
-200.0,200,16.194918,-200.0,-200.0
-200.0,200,16.295825,-200.0,-200.0
-200.0,200,16.397835,-200.0,-200.0
-200.0,200,16.501006,-200.0,-200.0
-200.0,200,16.604832,-200.0,-200.0
-200.0,200,17.560876,-200.0,-200.0
-200.0,200,17.669058,-200.0,-200.0
-200.0,200,17.771067,-200.0,-200.0
-200.0,200,17.861859,-200.0,-200.0
-200.0,200,17.967754,-200.0,-200.0
-200.0,200,18.085053,-200.0,-200.0
-200.0,200,18.188863,-200.0,-200.0
-200.0,200,18.3048,-200.0,-200.0
-200.0,200,18.407084,-200.0,-200.0
-200.0,200,18.509892,-200.0,-200.0
-200.0,200,18.613626,-200.0,-200.0
-200.0,200,19.588434,-200.0,-200.0
-200.0,200,19.696018,-200.0,-200.0
-200.0,200,19.785865,-200.0,-200.0
-200.0,200,19.889951,-200.0,-200.0
-200.0,200,19.992087,-200.0,-200.0
-200.0,200,20.090773,-200.0,-200.0
-200.0,200,20.194652,-200.0,-200.0
-200.0,200,20.29393,-200.0,-200.0
-200.0,200,21.12687,-200.0,-200.0
-200.0,200,21.229736,-200.0,-200.0
-200.0,200,22.245769,-200.0,-200.0
-200.0,200,22.356162,-200.0,-200.0
-200.0,200,22.457735,-200.0,-200.0
