#{"t_start": 1783343486.7948062, "env_id": "Acrobot-v1"}
r,l,t,original_reward,shaped_reward
-503.22847,500,0.636904,-500.0,-503.22846951916324
-506.107238,500,1.23857,-500.0,-506.1072382011729
-511.065166,500,1.838721,-500.0,-511.065166441277
-507.283287,500,2.481947,-500.0,-507.2832870246002
-507.936636,500,14.361504,-500.0,-507.93663573261387
-507.091694,500,14.941726,-500.0,-507.0916937261169
-509.022792,500,15.50969,-500.0,-509.0227921764551
-508.315154,500,16.074429,-500.0,-508.31515391038033
-460.557011,452,28.133078,-451.0,-460.55701105073535
-522.430753,500,28.730437,-500.0,-522.4307526693499
-506.697852,500,30.153052,-500.0,-506.6978524118843
-194.073795,192,30.370243,-191.0,-194.07379546808062
-300.425682,295,30.702081,-294.0,-300.42568215741767
-362.391241,357,43.895019,-356.0,-362.3912412489397
-236.508079,234,44.088042,-233.0,-236.50807928084413
-153.513155,151,44.244207,-150.0,-153.5131552233226
-241.671003,239,44.43888,-238.0,-241.67100251950305
-208.670422,205,44.590982,-204.0,-208.67042177878318
-159.801691,158,44.724072,-157.0,-159.80169114014598
-174.6907,172,44.925728,-171.0,-174.6906995651777
-211.065463,208,45.110908,-207.0,-211.0654625558551
-207.487076,206,45.274765,-205.0,-207.48707587866355
-199.446169,196,45.422745,-195.0,-199.4461685826338
-244.468413,240,58.141549,-239.0,-244.46841311010078
-139.091226,138,58.348895,-137.0,-139.09122612826994
-187.934184,184,58.638818,-183.0,-187.93418425176299
-171.565432,169,58.929865,-168.0,-171.56543177479415
-130.398882,129,59.128965,-128.0,-130.39888184251262
-165.032818,163,59.374689,-162.0,-165.03281814407092
-213.533985,210,59.72157,-209.0,-213.53398523983543
-214.866113,211,60.108591,-210.0,-214.86611288845552
-156.198701,154,60.337552,-153.0,-156.1987005545665
-546.032608,500,61.964998,-500.0,-546.0326084263246
-223.278933,219,74.995376,-218.0,-223.27893342142465
-282.904964,279,75.407399,-278.0,-282.9049638688831
-251.110182,244,75.785836,-243.0,-251.11018243007354
-194.997969,192,76.043655,-191.0,-194.99796854743263
-151.94815,150,76.251293,-149.0,-151.94815035477285
-450.04532,418,76.854552,-417.0,-450.0453204007308
-166.532068,165,77.115739,-164.0,-166.53206837308613
-118.927343,118,77.27592,-117.0,-118.92734280416042
-258.376455,254,77.634521,-253.0,-258.376454813754
-124.089954,123,87.394521,-122.0,-124.08995441043754
-163.30519,161,87.597181,-160.0,-163.30519003818037
-186.303126,184,87.837027,-183.0,-186.30312566904584
-160.827843,158,88.037791,-157.0,-160.82784291546778
-188.963177,185,88.289149,-184.0,-188.9631765280477
-238.630327,235,88.598403,-234.0,-238.63032665427772
-110.168858,109,88.741339,-108.0,-110.16885798845433
-125.980005,124,88.912106,-123.0,-125.98000476827849
-138.873433,137,89.099161,-136.0,-138.87343260784982
-147.743988,146,89.323308,-145.0,-147.74398790160188
-329.005417,302,89.740164,-301.0,-329.00541736677866
-134.362115,133,89.914329,-132.0,-134.36211489936105
-138.837241,137,90.105113,-136.0,-138.83724105251028
-190.446854,188,100.936185,-187.0,-190.4468539095065
-144.620368,143,101.138052,-142.0,-144.6203683332167
-180.508364,177,101.405054,-176.0,-180.50836422590652
-157.002147,155,101.681972,-154.0,-157.00214745169518
-181.961732,179,102.953911,-178.0,-181.96173228959552
-180.635679,177,103.208885,-176.0,-180.63567946259866
-197.84454,194,103.516159,-193.0,-197.8445395837374
