#{"t_start": 1783849716.9063203, "env_id": "LunarLander-v3"}
r,l,t,original_reward,shaped_reward
-244.149077,83,0.065162,-246.246015410641,-244.14907702944592
-196.119942,116,0.125187,-198.96876309578278,-196.11994247023918
-505.892008,110,0.178804,-508.8664952627341,-505.89200785850676
-325.648954,73,0.215995,-327.85693194079926,-325.64895364690346
-151.079357,111,0.271895,-153.53928918966028,-151.07935690172883
-169.636108,73,0.311191,-171.4900182681775,-169.63610785300494
-501.758744,114,0.369862,-505.25606006720346,-501.75874408700776
-126.178846,115,0.433373,-128.3979586832022,-126.17884584648368
-110.824178,79,0.477015,-112.50930299084274,-110.82417798500148
-66.146554,68,0.512977,-67.72014862460438,-66.14655445558373
-225.515207,132,0.595856,-228.3753226339386,-225.51520727332095
-116.132097,100,0.651113,-118.24593697404231,-116.13209685897192
-97.670218,60,0.686129,-99.55633608357019,-97.67021834270066
-409.491366,94,0.73401,-412.0770361190505,-409.4913658165402
-230.119797,94,0.780731,-232.4561313717316,-230.11979719984038
-154.662098,107,0.838053,-156.5607652400529,-154.66209826336254
-288.168534,98,0.892932,-290.92994486293037,-288.16853384575086
-66.911428,80,0.935253,-68.42163787744522,-66.91142843924044
-113.252819,71,0.972542,-114.96685757915556,-113.25281947056828
-147.30249,135,1.048049,-149.7370018294967,-147.3024900213397
-322.421953,99,1.103289,-325.4263049192193,-322.42195313880455
-109.404287,94,1.863798,-110.99005738117263,-109.40428685822054
-161.148492,77,1.902007,-163.0027101436154,-161.14849151401677
-81.624253,69,1.940404,-83.40562086905129,-81.62425315345413
-181.757076,67,1.980045,-183.4889582143609,-181.75707629962605
-101.233413,82,2.025744,-103.06430649268073,-101.23341270911139
-104.969897,75,2.066445,-107.01101863280157,-104.9698974765859
-170.087874,93,2.116074,-172.3300175392568,-170.0878735101164
-104.346026,94,2.164285,-106.41478584768885,-104.34602561714762
-172.75963,103,2.218118,-175.46752866370036,-172.75963023287608
-136.503561,140,2.292163,-138.91982701038532,-136.50356091057466
-126.536919,115,2.357328,-128.72310930957985,-126.53691857447812
-52.310618,63,2.392874,-53.87108849176191,-52.31061848946831
-145.818464,81,2.436177,-147.76111479161816,-145.8184642851217
-151.277182,78,2.483034,-153.38118344294068,-151.27718171822073
-103.773535,136,2.551866,-106.08024847886853,-103.7735350616961
-154.43132,126,2.6183,-157.1022882840851,-154.43132040836602
17.064562,115,2.679903,14.890781741063435,17.064562425534632
28.506405,77,2.720956,26.677513117937167,28.506405342964285
-183.191343,84,2.765963,-185.1216438963765,-183.19134256211453
-107.868421,71,2.804048,-109.4892003710275,-107.86842100155403
-86.703183,67,2.839137,-88.3265082885218,-86.7031834705067
-182.642035,112,2.90105,-185.00428193259876,-182.64203541625187
-117.720537,76,3.650927,-119.68485272207388,-117.72053679266104
-178.053461,87,3.694981,-179.83373527343204,-178.05346060390409
-85.951193,61,3.728704,-87.70290330538432,-85.95119316825546
-89.228512,82,3.770851,-91.11677279108797,-89.22851179891859
-79.35212,86,3.818797,-81.0678463351442,-79.3521202808334
-170.024366,101,3.871363,-172.81374605586163,-170.02436618139373
-83.853164,62,3.904717,-85.6369181335871,-83.85316408762381
-141.694451,100,3.961116,-144.01953447153863,-141.69445051839645
