#{"t_start": 1783342830.3680177, "env_id": "Acrobot-v1"}
r,l,t,original_reward,shaped_reward
393.53217,500,0.595058,-500.0,393.53217017650604
-229.7479,500,1.155457,-500.0,-229.7479000017047
-312.11022,500,1.694578,-500.0,-312.11022036522627
121.636513,500,2.246914,-500.0,121.6365128532052
223.72966,284,11.043782,-283.0,223.72966029774398
446.931607,391,11.482414,-390.0,446.9316069483757
106.705441,500,12.025254,-500.0,106.70544052496552
768.787848,407,12.472479,-406.0,768.787848379463
633.043543,500,13.030324,-500.0,633.0435429774225
478.852513,353,23.299696,-352.0,478.8525128606707
200.964979,459,23.811517,-458.0,200.96497923135757
632.715829,467,28.472588,-466.0,632.715829259716
347.862065,278,28.813794,-277.0,347.8620648123324
125.753349,281,29.167463,-280.0,125.75334916636348
264.165372,283,40.679116,-282.0,264.16537207365036
371.529336,265,40.973138,-264.0,371.52933632954955
549.88629,294,41.303685,-293.0,549.8862899318337
144.419092,165,41.490393,-164.0,144.4190916121006
147.753291,284,41.8114,-283.0,147.75329084694386
413.797519,344,42.212324,-343.0,413.79751947149634
276.12201,277,42.529514,-276.0,276.1220103725791
222.772858,252,42.818193,-251.0,222.7728582015261
266.536128,289,52.553909,-288.0,266.5361276641488
263.575386,224,52.79516,-223.0,263.5753857418895
297.690568,179,52.989012,-178.0,297.6905675753951
311.459076,202,53.210217,-201.0,311.4590757936239
119.302392,194,53.420128,-193.0,119.30239187180996
145.973424,194,53.641263,-193.0,145.9734242334962
47.564983,268,53.938261,-267.0,47.56498344615102
249.375518,212,54.176286,-211.0,249.37551783025265
185.434234,284,55.371252,-283.0,185.43423399329185
78.548284,212,70.384081,-211.0,78.5482840910554
152.171541,123,70.521229,-122.0,152.17154068499804
321.231877,192,70.738011,-191.0,321.23187673836946
139.595483,138,70.890626,-137.0,139.59548314660788
367.030825,268,71.187155,-267.0,367.030825316906
171.142571,150,71.368011,-149.0,171.14257135987282
204.676153,193,71.634058,-192.0,204.67615266144276
255.228155,161,71.825751,-160.0,255.22815535217524
97.737482,178,72.045646,-177.0,97.73748233914375
67.254085,114,72.17781,-113.0,67.25408513844013
135.944888,146,72.349742,-145.0,135.94488831609488
225.924808,189,72.583947,-188.0,225.92480811476707
344.510921,237,84.622489,-236.0,344.5109207853675
304.043805,168,84.823394,-167.0,304.043804500252
294.841865,170,85.011771,-169.0,294.8418650776148
190.026074,181,85.226642,-180.0,190.0260743945837
286.753997,194,85.459268,-193.0,286.75399688631296
203.234491,153,85.641981,-152.0,203.2344914674759
148.486381,167,85.837892,-166.0,148.48638143390417
150.277709,134,85.995331,-133.0,150.2777090370655
127.197722,124,86.139594,-123.0,127.19772220775485
224.283827,141,86.293149,-140.0,224.28382689505816
127.082224,162,86.471601,-161.0,127.08222409337759
153.736427,137,86.624601,-136.0,153.73642677813768
127.982343,140,86.788574,-139.0,127.98234299570322
530.196857,188,96.646343,-187.0,530.1968574970961
3166.087354,418,97.099437,-417.0,3166.0873539596796
297.289015,152,98.074365,-151.0,297.28901516646147
100.09933,127,98.217521,-126.0,100.09933031536639
125.278028,103,98.331384,-102.0,125.27802802622318
541.687185,197,98.551561,-196.0,541.6871847361326
179.933336,153,98.722215,-152.0,179.93333598971367
140.872904,162,98.902196,-161.0,140.87290366366506
147.432648,137,99.056127,-136.0,147.43264807015657
754.558576,231,99.311497,-230.0,754.5585761889815
88.961181,121,99.448111,-120.0,88.96118051558733
406.71815,180,109.689465,-179.0,406.7181496620178
87.157965,108,109.809084,-107.0,87.15796528756618
106.189152,150,109.978962,-149.0,106.18915157020092
363.730697,176,110.174994,-175.0,363.7306968420744
105.112836,134,110.320285,-133.0,105.11283589154482
153.345185,128,110.462923,-127.0,153.34518509730697
96.728602,120,110.594367,-119.0,96.72860214114189
434.938435,201,110.821308,-200.0,434.93843472003937
91.698043,157,111.006934,-156.0,91.69804348796606
84.112631,114,111.13397,-113.0,84.11263146623969
122.911454,122,111.268007,-121.0,122.91145421564579
113.774643,145,111.435153,-144.0,113.77464345097542
244.310338,140,111.596226,-139.0,244.3103384077549
174.253158,120,111.730345,-119.0,174.2531578540802
132.431684,108,111.84997,-107.0,132.431684166193
146.564325,117,121.538183,-116.0,146.56432539224625
193.794797,133,121.690834,-132.0,193.79479716718197
140.487601,122,121.847601,-121.0,140.48760077357292
142.283036,131,122.013113,-130.0,142.28303591161966
338.208403,171,122.218771,-170.0,338.208403095603
166.399214,123,122.362138,-122.0,166.3992136567831
127.761584,114,122.493406,-113.0,127.76158418506384
206.169982,166,122.68272,-165.0,206.16998244822025
188.757081,127,122.824873,-126.0,188.75708062946796
297.852932,153,123.003857,-152.0,297.8529315032065
88.643811,118,123.143778,-117.0,88.64381055533886
461.76417,176,124.015206,-175.0,461.76416981965303
170.591511,134,124.166757,-133.0,170.59151067957282
210.34775,151,124.336017,-150.0,210.34775034338236
138.292814,124,124.477746,-123.0,138.29281363636255
125.933412,108,134.493773,-107.0,125.93341199308634
141.240425,113,134.614472,-112.0,141.24042497202754
302.159958,125,134.753026,-124.0,302.1599581092596
157.722229,109,134.871971,-108.0,157.72222902718931
266.585987,131,135.016587,-130.0,266.5859866514802
109.104023,99,135.134817,-98.0,109.10402292013168
246.175895,137,135.288838,-136.0,246.1758946850896
68.997389,87,135.38592,-86.0,68.99738851934671
218.359108,121,135.522525,-120.0,218.35910764336586
351.589702,153,135.691859,-152.0,351.5897020548582
76.858077,106,135.808463,-105.0,76.85807705670595
131.317501,110,135.932739,-109.0,131.31750090420246
246.980266,117,136.06012,-116.0,246.9802660048008
168.202048,114,136.186923,-113.0,168.20204804092646
151.905398,118,136.314707,-117.0,151.90539836883545
