#{"t_start": 1783800109.2078764, "env_id": "Acrobot-v1"}
r,l,t,original_reward,shaped_reward
-500.0,500,0.307094,-500.0,-500.0
-500.0,500,0.599056,-500.0,-500.0
-500.0,500,0.878705,-500.0,-500.0
-500.0,500,1.148865,-500.0,-500.0
-500.0,500,2.172941,-500.0,-500.0
-500.0,500,2.470518,-500.0,-500.0
-500.0,500,2.78482,-500.0,-500.0
-500.0,500,3.106817,-500.0,-500.0
-500.0,500,4.12661,-500.0,-500.0
-500.0,500,4.410834,-500.0,-500.0
-500.0,500,5.318609,-500.0,-500.0
-500.0,500,5.606581,-500.0,-500.0
-500.0,500,6.617983,-500.0,-500.0
-385.0,386,6.839681,-385.0,-385.0
-305.0,306,7.015675,-305.0,-305.0
-428.0,429,7.264235,-428.0,-428.0
-471.0,472,7.53049,-471.0,-471.0
-374.0,375,8.547523,-374.0,-374.0
-368.0,369,8.760936,-368.0,-368.0
-335.0,336,8.956923,-335.0,-335.0
-445.0,446,9.22273,-445.0,-445.0
-300.0,301,9.392605,-300.0,-300.0
-301.0,302,10.218869,-301.0,-301.0
-354.0,355,11.159711,-354.0,-354.0
-319.0,320,11.345743,-319.0,-319.0
-230.0,231,11.473718,-230.0,-230.0
-274.0,275,11.626484,-274.0,-274.0
-263.0,264,11.774724,-263.0,-263.0
-275.0,276,11.931958,-275.0,-275.0
-313.0,314,12.109859,-313.0,-313.0
-216.0,217,12.953111,-216.0,-216.0
-244.0,245,13.10604,-244.0,-244.0
-168.0,169,13.21277,-168.0,-168.0
-238.0,239,13.358382,-238.0,-238.0
-185.0,186,13.479522,-185.0,-185.0
-187.0,188,13.586873,-187.0,-187.0
-194.0,195,13.701581,-194.0,-194.0
-209.0,210,13.824489,-209.0,-209.0
-170.0,171,13.916958,-170.0,-170.0
-164.0,165,14.012556,-164.0,-164.0
-170.0,171,14.840591,-170.0,-170.0
-162.0,163,14.934708,-162.0,-162.0
-167.0,168,15.033398,-167.0,-167.0
-188.0,189,15.140915,-188.0,-188.0
-227.0,228,15.659666,-227.0,-227.0
-148.0,149,15.744578,-148.0,-148.0
-126.0,127,15.817676,-126.0,-126.0
-143.0,144,15.899526,-143.0,-143.0
-114.0,115,15.964367,-114.0,-114.0
-145.0,146,16.049325,-145.0,-145.0
-178.0,179,16.153584,-178.0,-178.0
-145.0,146,16.23404,-145.0,-145.0
-167.0,168,16.330503,-167.0,-167.0
-138.0,139,17.150767,-138.0,-138.0
-126.0,127,17.223627,-126.0,-126.0
-128.0,129,17.308144,-128.0,-128.0
-147.0,148,17.401009,-147.0,-147.0
-131.0,132,17.476433,-131.0,-131.0
-123.0,124,17.543925,-123.0,-123.0
-137.0,138,17.621395,-137.0,-137.0
-135.0,136,17.701519,-135.0,-135.0
-151.0,152,17.789352,-151.0,-151.0
-86.0,87,17.842591,-86.0,-86.0
-135.0,136,17.919337,-135.0,-135.0
-155.0,156,18.013769,-155.0,-155.0
-131.0,132,18.093462,-131.0,-131.0
-170.0,171,18.193616,-170.0,-170.0
-103.0,104,18.253635,-103.0,-103.0
-141.0,142,19.137953,-141.0,-141.0
-149.0,150,19.22565,-149.0,-149.0
-127.0,128,19.299551,-127.0,-127.0
-122.0,123,19.368859,-122.0,-122.0
-144.0,145,19.45407,-144.0,-144.0
-97.0,98,19.510308,-97.0,-97.0
-94.0,95,19.564866,-94.0,-94.0
-111.0,112,19.631697,-111.0,-111.0
-92.0,93,19.687133,-92.0,-92.0
-134.0,135,19.767407,-134.0,-134.0
-107.0,108,19.827558,-107.0,-107.0
-145.0,146,19.906554,-145.0,-145.0
-124.0,125,19.974272,-124.0,-124.0
-153.0,154,20.424562,-153.0,-153.0
-124.0,125,20.499564,-124.0,-124.0
-112.0,113,20.560719,-112.0,-112.0
-139.0,140,20.643649,-139.0,-139.0
-94.0,95,21.485881,-94.0,-94.0
-91.0,92,21.537396,-91.0,-91.0
-178.0,179,21.640444,-178.0,-178.0
-111.0,112,21.703841,-111.0,-111.0
-137.0,138,21.782352,-137.0,-137.0
-120.0,121,21.848429,-120.0,-120.0
-122.0,123,21.916302,-122.0,-122.0
-120.0,121,21.984759,-120.0,-120.0
-100.0,101,22.043434,-100.0,-100.0
-133.0,134,22.120239,-133.0,-133.0
-97.0,98,22.176139,-97.0,-97.0
-84.0,85,22.222544,-84.0,-84.0
-117.0,118,22.288555,-117.0,-117.0
-130.0,131,22.36327,-130.0,-130.0
-99.0,100,22.418393,-99.0,-99.0
-97.0,98,22.473661,-97.0,-97.0
-87.0,88,22.526532,-87.0,-87.0
-151.0,152,23.343802,-151.0,-151.0
-86.0,87,23.391668,-86.0,-86.0
-100.0,101,23.447473,-100.0,-100.0
-111.0,112,23.510706,-111.0,-111.0
-100.0,101,23.571565,-100.0,-100.0
-111.0,112,23.644402,-111.0,-111.0
-103.0,104,23.71454,-103.0,-103.0
-90.0,91,23.770397,-90.0,-90.0
-104.0,105,23.839284,-104.0,-104.0
-115.0,116,23.910486,-115.0,-115.0
-120.0,121,23.986782,-120.0,-120.0
-93.0,94,24.046278,-93.0,-93.0
-113.0,114,24.115542,-113.0,-113.0
-131.0,132,24.196012,-131.0,-131.0
-86.0,87,24.253074,-86.0,-86.0
-89.0,90,24.306288,-89.0,-89.0
-118.0,119,24.375262,-118.0,-118.0
-101.0,102,24.436594,-101.0,-101.0
-143.0,144,24.517678,-143.0,-143.0
-76.0,77,24.56072,-76.0,-76.0
-128.0,129,25.368555,-128.0,-128.0
-108.0,109,25.434598,-108.0,-108.0
-79.0,80,25.483883,-79.0,-79.0
-118.0,119,25.902449,-118.0,-118.0
-81.0,82,25.958066,-81.0,-81.0
-94.0,95,26.012697,-94.0,-94.0
-113.0,114,26.076742,-113.0,-113.0
-81.0,82,26.128497,-81.0,-81.0
-97.0,98,26.182335,-97.0,-97.0
-90.0,91,26.231854,-90.0,-90.0
-112.0,113,26.29941,-112.0,-112.0
-108.0,109,26.363901,-108.0,-108.0
-99.0,100,26.424325,-99.0,-99.0
-97.0,98,26.479484,-97.0,-97.0
-111.0,112,26.547512,-111.0,-111.0
-112.0,113,26.61234,-112.0,-112.0
-126.0,127,26.684551,-126.0,-126.0
-94.0,95,26.743626,-94.0,-94.0
-74.0,75,26.791287,-74.0,-74.0
-92.0,93,26.844588,-92.0,-92.0
-109.0,110,27.628589,-109.0,-109.0
-106.0,107,27.687347,-106.0,-106.0
-110.0,111,27.753272,-110.0,-110.0
-111.0,112,27.82135,-111.0,-111.0
-93.0,94,27.876568,-93.0,-93.0
-97.0,98,27.931218,-97.0,-97.0
-93.0,94,27.9886,-93.0,-93.0
-79.0,80,28.049212,-79.0,-79.0
-86.0,87,28.09828,-86.0,-86.0
-92.0,93,28.152332,-92.0,-92.0
-102.0,103,28.20927,-102.0,-102.0
-103.0,104,28.26836,-103.0,-103.0
-102.0,103,28.325523,-102.0,-102.0
-80.0,81,28.37382,-80.0,-80.0
-101.0,102,28.432545,-101.0,-101.0
-92.0,93,28.486196,-92.0,-92.0
-92.0,93,28.539362,-92.0,-92.0
-128.0,129,28.612571,-128.0,-128.0
-128.0,129,28.684257,-128.0,-128.0
-82.0,83,28.733883,-82.0,-82.0
-108.0,109,29.583572,-108.0,-108.0
-77.0,78,29.627039,-77.0,-77.0
-76.0,77,29.669484,-76.0,-76.0
-106.0,107,29.729897,-106.0,-106.0
-84.0,85,29.777067,-84.0,-84.0
-92.0,93,29.833515,-92.0,-92.0
-74.0,75,29.877056,-74.0,-74.0
-107.0,108,29.939253,-107.0,-107.0
-126.0,127,30.012507,-126.0,-126.0
-160.0,161,30.105396,-160.0,-160.0
-90.0,91,30.157599,-90.0,-90.0
-92.0,93,30.209551,-92.0,-92.0
-94.0,95,30.261858,-94.0,-94.0
-101.0,102,30.655536,-101.0,-101.0
-93.0,94,30.714019,-93.0,-93.0
-97.0,98,30.772234,-97.0,-97.0
-96.0,97,30.826877,-96.0,-96.0
-84.0,85,30.874302,-84.0,-84.0
-105.0,106,30.936405,-105.0,-105.0
-97.0,98,30.998493,-97.0,-97.0
-103.0,104,31.056843,-103.0,-103.0
-147.0,148,31.871089,-147.0,-147.0
-129.0,130,31.944882,-129.0,-129.0
-78.0,79,31.991204,-78.0,-78.0
-123.0,124,32.06128,-123.0,-123.0
-84.0,85,32.110249,-84.0,-84.0
-97.0,98,32.166593,-97.0,-97.0
-85.0,86,32.21724,-85.0,-85.0
-114.0,115,32.28314,-114.0,-114.0
-96.0,97,32.338337,-96.0,-96.0
-90.0,91,32.391379,-90.0,-90.0
-163.0,164,32.488224,-163.0,-163.0
-81.0,82,32.534402,-81.0,-81.0
-92.0,93,32.587978,-92.0,-92.0
-82.0,83,32.637172,-82.0,-82.0
-137.0,138,32.712445,-137.0,-137.0
-97.0,98,32.766456,-97.0,-97.0
-133.0,134,32.847519,-133.0,-133.0
-82.0,83,32.894537,-82.0,-82.0
-101.0,102,32.953233,-101.0,-101.0
-93.0,94,33.735455,-93.0,-93.0
-83.0,84,33.78291,-83.0,-83.0
-85.0,86,33.833297,-85.0,-85.0
-107.0,108,33.894396,-107.0,-107.0
-95.0,96,33.94945,-95.0,-95.0
-84.0,85,34.000262,-84.0,-84.0
-152.0,153,34.093257,-152.0,-152.0
-102.0,103,34.150445,-102.0,-102.0
-92.0,93,34.209253,-92.0,-92.0
-104.0,105,34.282569,-104.0,-104.0
-95.0,96,34.343322,-95.0,-95.0
-80.0,81,34.393099,-80.0,-80.0
-113.0,114,34.46437,-113.0,-113.0
-100.0,101,34.529234,-100.0,-100.0
-77.0,78,34.577876,-77.0,-77.0
-78.0,79,34.630295,-78.0,-78.0
-95.0,96,34.685495,-95.0,-95.0
-100.0,101,34.745354,-100.0,-100.0
-97.0,98,34.805086,-97.0,-97.0
-82.0,83,34.855209,-82.0,-82.0
-81.0,82,34.90336,-81.0,-81.0
-140.0,141,35.705332,-140.0,-140.0
-92.0,93,35.759316,-92.0,-92.0
-81.0,82,36.154832,-81.0,-81.0
-80.0,81,36.206222,-80.0,-80.0
-75.0,76,36.250133,-75.0,-75.0
-92.0,93,36.301468,-92.0,-92.0
-89.0,90,36.35434,-89.0,-89.0
-86.0,87,36.407463,-86.0,-86.0
-99.0,100,36.469115,-99.0,-99.0
-161.0,162,36.561541,-161.0,-161.0
-158.0,159,36.649326,-158.0,-158.0
-78.0,79,36.693378,-78.0,-78.0
-99.0,100,36.749099,-99.0,-99.0
-110.0,111,36.814404,-110.0,-110.0
-95.0,96,36.867522,-95.0,-95.0
-80.0,81,36.914185,-80.0,-80.0
-101.0,102,36.97438,-101.0,-101.0
-74.0,75,37.016778,-74.0,-74.0
-84.0,85,37.064825,-84.0,-84.0
-94.0,95,37.123065,-94.0,-94.0
-99.0,100,37.177345,-99.0,-99.0
-80.0,81,37.955592,-80.0,-80.0
-93.0,94,38.016116,-93.0,-93.0
-107.0,108,38.079183,-107.0,-107.0
-85.0,86,38.127054,-85.0,-85.0
-80.0,81,38.171463,-80.0,-80.0
-82.0,83,38.217512,-82.0,-82.0
-84.0,85,38.268176,-84.0,-84.0
-123.0,124,38.337362,-123.0,-123.0
-89.0,90,38.390151,-89.0,-89.0
-106.0,107,38.452196,-106.0,-106.0
-285.0,286,38.623367,-285.0,-285.0
-103.0,104,38.684674,-103.0,-103.0
-78.0,79,38.730247,-78.0,-78.0
-71.0,72,38.774278,-71.0,-71.0
-97.0,98,38.832197,-97.0,-97.0
-94.0,95,38.884905,-94.0,-94.0
-78.0,79,38.930026,-78.0,-78.0
-87.0,88,38.979211,-87.0,-87.0
-96.0,97,39.034681,-96.0,-96.0
-86.0,87,39.084538,-86.0,-86.0
-87.0,88,39.955818,-87.0,-87.0
-82.0,83,40.016027,-82.0,-82.0
-94.0,95,40.077964,-94.0,-94.0
-77.0,78,40.142441,-77.0,-77.0
-77.0,78,40.189381,-77.0,-77.0
-97.0,98,40.255358,-97.0,-97.0
-103.0,104,40.32328,-103.0,-103.0
-98.0,99,40.385263,-98.0,-98.0
-93.0,94,40.441995,-93.0,-93.0
-89.0,90,40.500401,-89.0,-89.0
-80.0,81,40.550248,-80.0,-80.0
-78.0,79,40.596977,-78.0,-78.0
-99.0,100,41.038222,-99.0,-99.0
-109.0,110,41.105277,-109.0,-109.0
-91.0,92,41.157545,-91.0,-91.0
-121.0,122,41.229257,-121.0,-121.0
-76.0,77,41.27134,-76.0,-76.0
-113.0,114,41.33498,-113.0,-113.0
-80.0,81,41.384955,-80.0,-80.0
-92.0,93,41.438915,-92.0,-92.0
-86.0,87,41.489921,-86.0,-86.0
-64.0,65,41.527051,-64.0,-64.0
-94.0,95,41.580174,-94.0,-94.0
-81.0,82,42.350517,-81.0,-81.0
-94.0,95,42.407233,-94.0,-94.0
-82.0,83,42.458126,-82.0,-82.0
-159.0,160,42.547016,-159.0,-159.0
-83.0,84,42.594344,-83.0,-83.0
-86.0,87,42.644944,-86.0,-86.0
-200.0,201,42.759931,-200.0,-200.0
-101.0,102,42.818074,-101.0,-101.0
-78.0,79,42.86223,-78.0,-78.0
-85.0,86,42.912493,-85.0,-85.0
-82.0,83,42.960086,-82.0,-82.0
-80.0,81,43.01137,-80.0,-80.0
-82.0,83,43.057585,-82.0,-82.0
-80.0,81,43.105259,-80.0,-80.0
-85.0,86,43.155023,-85.0,-85.0
-94.0,95,43.210052,-94.0,-94.0
-86.0,87,43.262177,-86.0,-86.0
-114.0,115,43.331454,-114.0,-114.0
-99.0,100,43.387904,-99.0,-99.0
-81.0,82,43.432893,-81.0,-81.0
-90.0,91,43.484976,-90.0,-90.0
-77.0,78,44.300274,-77.0,-77.0
-87.0,88,44.349279,-87.0,-87.0
-98.0,99,44.406064,-98.0,-98.0
-89.0,90,44.45934,-89.0,-89.0
-63.0,64,44.496984,-63.0,-63.0
-127.0,128,44.570325,-127.0,-127.0
-97.0,98,44.62988,-97.0,-97.0
-76.0,77,44.673606,-76.0,-76.0
-77.0,78,44.720159,-77.0,-77.0
-146.0,147,44.809117,-146.0,-146.0
-127.0,128,44.902312,-127.0,-127.0
-155.0,156,44.998949,-155.0,-155.0
-90.0,91,45.05516,-90.0,-90.0
-71.0,72,45.100313,-71.0,-71.0
-86.0,87,45.159191,-86.0,-86.0
-91.0,92,45.224503,-91.0,-91.0
-113.0,114,45.308918,-113.0,-113.0
-64.0,65,45.345967,-64.0,-64.0
-100.0,101,45.40678,-100.0,-100.0
-109.0,110,45.475605,-109.0,-109.0
-69.0,70,45.874409,-69.0,-69.0
-93.0,94,46.676139,-93.0,-93.0
-141.0,142,46.760332,-141.0,-141.0
-82.0,83,46.811171,-82.0,-82.0
-68.0,69,46.849128,-68.0,-68.0
-90.0,91,46.901295,-90.0,-90.0
-76.0,77,46.943946,-76.0,-76.0
-80.0,81,46.990144,-80.0,-80.0
-86.0,87,47.040999,-86.0,-86.0
-103.0,104,47.10328,-103.0,-103.0
-92.0,93,47.156249,-92.0,-92.0
-93.0,94,47.211866,-93.0,-93.0
-89.0,90,47.267034,-89.0,-89.0
-79.0,80,47.314122,-79.0,-79.0
-78.0,79,47.358145,-78.0,-78.0
-78.0,79,47.404867,-78.0,-78.0
-81.0,82,47.452082,-81.0,-81.0
-87.0,88,47.503566,-87.0,-87.0
-76.0,77,47.549233,-76.0,-76.0
-109.0,110,47.613089,-109.0,-109.0
-82.0,83,47.661217,-82.0,-82.0
-103.0,104,47.724509,-103.0,-103.0
-102.0,103,47.782779,-102.0,-102.0
-113.0,114,48.557001,-113.0,-113.0
-79.0,80,48.603794,-79.0,-79.0
-90.0,91,48.654042,-90.0,-90.0
-100.0,101,48.712198,-100.0,-100.0
-101.0,102,48.771093,-101.0,-101.0
-83.0,84,48.823003,-83.0,-83.0
-110.0,111,48.884931,-110.0,-110.0
-93.0,94,48.937218,-93.0,-93.0
-100.0,101,48.993949,-100.0,-100.0
-79.0,80,49.038887,-79.0,-79.0
-83.0,84,49.085234,-83.0,-83.0
-79.0,80,49.132171,-79.0,-79.0
-63.0,64,49.169191,-63.0,-63.0
-75.0,76,49.212824,-75.0,-75.0
-100.0,101,49.273878,-100.0,-100.0
-87.0,88,49.325276,-87.0,-87.0
-145.0,146,49.407338,-145.0,-145.0
-82.0,83,49.454547,-82.0,-82.0
-98.0,99,49.512226,-98.0,-98.0
-119.0,120,49.58119,-119.0,-119.0
-102.0,103,49.641939,-102.0,-102.0
-98.0,99,49.699829,-98.0,-98.0
-101.0,102,50.567917,-101.0,-101.0
-80.0,81,50.634184,-80.0,-80.0
-88.0,89,50.689215,-88.0,-88.0
-83.0,84,50.744113,-83.0,-83.0
-83.0,84,50.793752,-83.0,-83.0
-135.0,136,50.871184,-135.0,-135.0
-81.0,82,50.916235,-81.0,-81.0
-97.0,98,50.970986,-97.0,-97.0
-66.0,67,51.010885,-66.0,-66.0
-90.0,91,51.407119,-90.0,-90.0
-86.0,87,51.455913,-86.0,-86.0
-71.0,72,51.494113,-71.0,-71.0
-139.0,140,51.56947,-139.0,-139.0
-77.0,78,51.617947,-77.0,-77.0
-84.0,85,51.668087,-84.0,-84.0
-121.0,122,51.742109,-121.0,-121.0
-84.0,85,51.795991,-84.0,-84.0
-110.0,111,51.856758,-110.0,-110.0
-86.0,87,51.904399,-86.0,-86.0
-74.0,75,51.943755,-74.0,-74.0
-75.0,76,51.997184,-75.0,-75.0
-113.0,114,52.066052,-113.0,-113.0
-77.0,78,52.82997,-77.0,-77.0
-68.0,69,52.870837,-68.0,-68.0
-99.0,100,52.926267,-99.0,-99.0
-78.0,79,52.968718,-78.0,-78.0
-73.0,74,53.018002,-73.0,-73.0
-78.0,79,53.063156,-78.0,-78.0
-89.0,90,53.112431,-89.0,-89.0
-78.0,79,53.157951,-78.0,-78.0
-109.0,110,53.22051,-109.0,-109.0
-81.0,82,53.264143,-81.0,-81.0
-91.0,92,53.317144,-91.0,-91.0
-79.0,80,53.361041,-79.0,-79.0
-86.0,87,53.412983,-86.0,-86.0
-92.0,93,53.464961,-92.0,-92.0
-70.0,71,53.506113,-70.0,-70.0
-78.0,79,53.550961,-78.0,-78.0
-125.0,126,53.626307,-125.0,-125.0
-104.0,105,53.685297,-104.0,-104.0
-97.0,98,53.743542,-97.0,-97.0
-79.0,80,53.795085,-79.0,-79.0
-87.0,88,53.846835,-87.0,-87.0
-79.0,80,53.892998,-79.0,-79.0
-93.0,94,53.946703,-93.0,-93.0
-81.0,82,54.720776,-81.0,-81.0
-158.0,159,54.815124,-158.0,-158.0
-87.0,88,54.868057,-87.0,-87.0
-81.0,82,54.915747,-81.0,-81.0
-83.0,84,54.967227,-83.0,-83.0
-93.0,94,55.026096,-93.0,-93.0
-79.0,80,55.081516,-79.0,-79.0
-114.0,115,55.154958,-114.0,-114.0
-73.0,74,55.196472,-73.0,-73.0
-87.0,88,55.247504,-87.0,-87.0
-82.0,83,55.300327,-82.0,-82.0
-110.0,111,55.365118,-110.0,-110.0
-82.0,83,55.418106,-82.0,-82.0
-110.0,111,55.495567,-110.0,-110.0
-103.0,104,55.560789,-103.0,-103.0
-83.0,84,55.609777,-83.0,-83.0
-79.0,80,55.661917,-79.0,-79.0
-105.0,106,55.729724,-105.0,-105.0
-96.0,97,55.798755,-96.0,-96.0
-148.0,149,56.250771,-148.0,-148.0
-74.0,75,56.292214,-74.0,-74.0
-84.0,85,57.065926,-84.0,-84.0
-78.0,79,57.11168,-78.0,-78.0
-73.0,74,57.154705,-73.0,-73.0
-101.0,102,57.21237,-101.0,-101.0
-85.0,86,57.261634,-85.0,-85.0
-62.0,63,57.29642,-62.0,-62.0
-73.0,74,57.336476,-73.0,-73.0
-116.0,117,57.400935,-116.0,-116.0
-77.0,78,57.445017,-77.0,-77.0
-73.0,74,57.4878,-73.0,-73.0
-87.0,88,57.536856,-87.0,-87.0
-78.0,79,57.578653,-78.0,-78.0
-99.0,100,57.632766,-99.0,-99.0
-85.0,86,57.685922,-85.0,-85.0
-79.0,80,57.732981,-79.0,-79.0
-77.0,78,57.7797,-77.0,-77.0
-84.0,85,57.83301,-84.0,-84.0
-68.0,69,57.872094,-68.0,-68.0
-87.0,88,57.921673,-87.0,-87.0
-63.0,64,57.957151,-63.0,-63.0
-167.0,168,58.053905,-167.0,-167.0
-64.0,65,58.093756,-64.0,-64.0
-92.0,93,58.14875,-92.0,-92.0
-80.0,81,58.194728,-80.0,-80.0
-86.0,87,59.031749,-86.0,-86.0
-73.0,74,59.078345,-73.0,-73.0
-96.0,97,59.135027,-96.0,-96.0
-75.0,76,59.18927,-75.0,-75.0
-85.0,86,59.253868,-85.0,-85.0
-82.0,83,59.315115,-82.0,-82.0
-77.0,78,59.373965,-77.0,-77.0
-88.0,89,59.428159,-88.0,-88.0
-106.0,107,59.503754,-106.0,-106.0
-87.0,88,59.55913,-87.0,-87.0
-64.0,65,59.60395,-64.0,-64.0
-83.0,84,59.6532,-83.0,-83.0
-99.0,100,59.710691,-99.0,-99.0
-65.0,66,59.747936,-65.0,-65.0
-117.0,118,59.818268,-117.0,-117.0
-76.0,77,59.861556,-76.0,-76.0
-123.0,124,59.931658,-123.0,-123.0
-78.0,79,59.976429,-78.0,-78.0
-73.0,74,60.017453,-73.0,-73.0
-72.0,73,60.061771,-72.0,-72.0
-80.0,81,60.106364,-80.0,-80.0
-88.0,89,60.156812,-88.0,-88.0
-89.0,90,60.209679,-89.0,-89.0
-78.0,79,60.254863,-78.0,-78.0
-100.0,101,61.09692,-100.0,-100.0
-82.0,83,61.147968,-82.0,-82.0
-77.0,78,61.193574,-77.0,-77.0
-112.0,113,61.258833,-112.0,-112.0
-173.0,174,61.370037,-173.0,-173.0
-106.0,107,61.432572,-106.0,-106.0
-83.0,84,61.837036,-83.0,-83.0
-75.0,76,61.879901,-75.0,-75.0
