#{"t_start": 1783821193.0899389, "env_id": "Acrobot-v1"}
r,l,t,original_reward,shaped_reward
-502.23324,500,0.312876,-500.0,-502.23324031036117
-506.165706,500,0.589806,-500.0,-506.16570649697786
-502.927218,500,0.85965,-500.0,-502.9272180594739
-509.485046,500,1.13933,-500.0,-509.48504586668025
-504.531656,500,2.153289,-500.0,-504.53165557573055
-504.88915,500,2.438788,-500.0,-504.8891501750047
-503.365507,500,2.704509,-500.0,-503.36550744926575
-503.997936,500,2.969535,-500.0,-503.9979356967683
-502.674468,500,4.125233,-500.0,-502.674468030799
-507.901155,500,4.406914,-500.0,-507.90115469371875
-504.681726,500,6.739799,-500.0,-504.6817263445657
-504.813808,500,7.011811,-500.0,-504.8138076689092
-474.985215,463,8.024989,-462.0,-474.9852149316669
-325.690522,319,8.196487,-318.0,-325.69052244863485
-428.758189,422,8.438621,-421.0,-428.7581889446873
-248.295191,243,8.565392,-242.0,-248.29519109281708
-198.528128,196,8.689976,-195.0,-198.528128183654
-464.809193,457,8.974359,-456.0,-464.80919313805157
-394.158043,390,9.97327,-389.0,-394.1580430150028
-252.011029,249,10.109614,-248.0,-252.0110286849922
-373.005225,368,10.322735,-367.0,-373.00522504118123
-263.602413,261,10.468575,-260.0,-263.6024131433294
-250.571629,246,10.599645,-245.0,-250.57162853402554
-374.9627,367,10.805521,-366.0,-374.9626998594079
-190.279975,188,12.908409,-187.0,-190.2799750492814
-237.827912,233,13.795804,-232.0,-237.82791183143866
-214.712265,211,13.914436,-210.0,-214.71226469437596
-194.098615,191,14.041754,-190.0,-194.09861501029235
-307.106705,301,14.228402,-300.0,-307.10670461594094
-246.107093,244,14.371301,-243.0,-246.1070928559358
-254.849765,251,14.504728,-250.0,-254.84976475945675
-178.296361,176,14.606899,-175.0,-178.2963609060086
-207.204203,205,14.723836,-204.0,-207.20420251182276
-244.372053,239,14.850454,-238.0,-244.37205347212517
-194.309012,192,15.748189,-191.0,-194.30901238624944
-172.673361,170,15.837578,-169.0,-172.67336080348113
-145.851489,144,15.919518,-143.0,-145.8514889243805
-169.240883,167,16.010364,-166.0,-169.24088302655161
-185.452088,183,16.10687,-182.0,-185.45208842857744
-162.456151,161,16.196766,-160.0,-162.45615149361547
-161.613423,160,16.286033,-159.0,-161.61342298110947
-171.003112,169,16.38111,-168.0,-171.00311152575537
-153.051729,151,16.465739,-150.0,-153.05172850955273
-178.539629,176,16.562266,-175.0,-178.53962945461268
-142.979559,141,16.639817,-140.0,-142.97955877624452
-249.226911,245,16.783041,-244.0,-249.22691074808134
-207.181152,204,17.648253,-203.0,-207.18115212598119
-263.042735,246,17.792547,-245.0,-263.04273482938765
-128.085294,127,17.860884,-126.0,-128.08529359652655
-188.487717,185,18.588183,-184.0,-188.48771694181013
-177.976233,174,18.691594,-173.0,-177.97623274290945
-195.470521,193,18.801614,-192.0,-195.4705205327226
-147.122377,145,18.881203,-144.0,-147.12237681095496
-181.093152,178,18.98054,-177.0,-181.09315180098628
-193.696726,191,19.078148,-190.0,-193.69672639671703
-260.948433,254,19.214524,-253.0,-260.948433332378
-178.143226,175,19.341605,-174.0,-178.1432264603301
-182.828022,178,20.269224,-177.0,-182.8280219692644
-159.834991,158,20.353328,-157.0,-159.83499144376248
-100.515337,100,20.4134,-99.0,-100.51533650220607
-139.876132,137,20.490142,-136.0,-139.87613245431803
-163.165989,161,20.577202,-160.0,-163.1659886532184
-277.74978,264,20.728434,-263.0,-277.74977984403245
-130.95606,128,20.796324,-127.0,-130.95606034808907
-222.529795,220,20.914684,-219.0,-222.52979543245618
-124.817514,123,20.985519,-122.0,-124.81751424486747
-145.100503,143,21.067427,-142.0,-145.1005030001374
-142.535934,139,21.140461,-138.0,-142.5359338262537
-156.422093,154,21.228414,-153.0,-156.42209305310624
-164.85729,161,21.314315,-160.0,-164.8572903603456
-121.907322,121,22.1487,-120.0,-121.90732185952363
-111.057046,110,22.208536,-109.0,-111.05704617156417
-135.293326,133,22.281436,-132.0,-135.29332581142893
-101.077348,100,22.335529,-99.0,-101.07734797736633
-158.052135,156,22.426136,-155.0,-158.05213464585142
-110.217253,109,22.486964,-108.0,-110.21725298847299
-146.083108,144,22.565392,-143.0,-146.08310835435753
-113.018678,112,22.631276,-111.0,-113.01867818284778
-132.962205,131,22.703144,-130.0,-132.96220535103694
-125.231326,124,22.783208,-123.0,-125.23132617762315
-88.860857,88,22.835029,-87.0,-88.86085652267558
-117.91992,116,22.901291,-115.0,-117.91992019714789
