#{"t_start": 1782999938.9906127, "env_id": "CartPole-v1"}
r,l,t,original_reward,shaped_reward
19.365303,21,0.034589,21.0,19.365303456783295
11.882675,13,0.043106,13.0,11.882674515247345
20.097534,23,0.060114,23.0,20.09753406047821
27.667941,30,0.083283,30.0,27.667940974235535
9.85827,11,0.091292,11.0,9.858269929885864
7.940122,9,0.098299,9.0,7.940122067928314
54.691913,63,0.144376,63.0,54.691912949085236
13.728278,15,0.15613,15.0,13.728277564048767
79.214699,89,0.224237,89.0,79.21469926834106
14.762513,16,0.235235,16.0,14.762513160705566
7.944248,9,0.241238,9.0,7.944248199462891
23.307055,26,0.257233,26.0,23.307055413722992
8.861689,10,0.264237,10.0,8.861689269542694
68.319746,76,0.312749,76.0,68.31974589824677
12.348764,14,0.329087,14.0,12.34876400232315
28.218789,30,0.349099,30.0,28.218788981437683
20.758847,22,0.363618,22.0,20.758846879005432
18.40018,20,0.379163,20.0,18.40017968416214
10.947345,12,0.386192,12.0,10.947345197200775
15.05153,17,0.39816,17.0,15.051530480384827
20.515612,22,0.41317,22.0,20.515612244606018
21.534699,25,0.428944,25.0,21.534699022769928
43.274529,49,0.460051,49.0,43.27452903985977
10.753493,12,0.468058,12.0,10.753493130207062
33.820338,36,0.491421,36.0,33.820338010787964
36.355953,39,0.518419,39.0,36.35595327615738
15.841763,18,0.530871,18.0,15.841762840747833
12.940715,14,0.539962,14.0,12.940714955329895
31.166685,34,0.574617,34.0,31.166685461997986
75.798804,79,0.661249,79.0,75.79880434274673
16.399522,18,0.685284,18.0,16.3995218873024
7.919307,9,0.692288,9.0,7.919307470321655
20.185925,22,0.715319,22.0,20.18592458963394
36.268363,39,0.74039,39.0,36.26836335659027
10.868224,12,0.747867,12.0,10.868223667144775
30.205481,32,0.766729,32.0,30.205480694770813
15.597765,17,0.777951,17.0,15.59776496887207
45.146771,48,0.806927,48.0,45.14677137136459
16.698258,18,0.818485,18.0,16.69825792312622
11.929656,13,0.826493,13.0,11.929655969142914
10.734278,12,0.837044,12.0,10.734277784824371
12.843675,14,0.845081,14.0,12.843674838542938
28.472447,31,0.865357,31.0,28.472446978092194
13.689708,15,0.875397,15.0,13.689707934856415
22.455431,25,0.890325,25.0,22.455431401729584
13.359695,15,0.900313,15.0,13.359695136547089
41.362981,45,0.931344,45.0,41.36298060417175
9.966841,11,0.938365,11.0,9.966841459274292
16.247799,18,0.950357,18.0,16.24779921770096
9.713842,11,0.957362,11.0,9.713842332363129
16.103907,18,0.971553,18.0,16.10390728712082
14.558707,16,0.982601,16.0,14.558706998825073
40.122014,45,1.013005,45.0,40.12201374769211
39.660338,44,1.042314,44.0,39.660337686538696
13.614361,15,1.052287,15.0,13.614361107349396
13.810978,15,1.061312,15.0,13.810978055000305
13.843986,15,1.071323,15.0,13.84398639202118
18.537422,20,1.083312,20.0,18.53742164373398
25.220319,28,1.101321,28.0,25.22031944990158
15.172857,17,1.112298,17.0,15.172857463359833
13.715531,15,1.121431,15.0,13.715530514717102
29.164532,32,1.141934,32.0,29.16453242301941
15.144819,17,1.153245,17.0,15.144819021224976
20.605881,22,1.17123,22.0,20.605880856513977
14.386287,16,1.183227,16.0,14.386286556720734
33.765554,39,1.208235,39.0,33.76555436849594
11.90451,13,1.218446,13.0,11.904509961605072
14.321343,16,1.229092,16.0,14.321342945098877
16.738259,18,1.24051,18.0,16.738259494304657
15.094937,17,1.252098,17.0,15.094937264919281
22.309788,24,1.267097,24.0,22.309788167476654
9.749394,11,1.275097,11.0,9.749393701553345
17.454165,19,1.288446,19.0,17.454165160655975
35.718452,39,1.315563,39.0,35.71845191717148
11.313335,13,1.323151,13.0,11.313334584236145
28.27233,31,1.348154,31.0,28.272330045700073
47.068008,50,1.382293,50.0,47.068007826805115
15.658417,18,1.394128,18.0,15.658417344093323
10.869527,12,1.404213,12.0,10.869527339935303
59.106778,68,1.452958,68.0,59.10677820444107
39.890391,43,1.480969,43.0,39.8903905749321
18.290814,20,2.836061,20.0,18.29081439971924
33.019304,36,2.865206,36.0,33.01930367946625
57.919132,66,2.916367,66.0,57.91913229227066
39.937491,43,2.950405,43.0,39.937490820884705
55.022552,59,2.991775,59.0,55.022552132606506
26.654984,29,3.012301,29.0,26.654983937740326
13.519056,15,3.025505,15.0,13.51905632019043
41.032364,46,3.054336,46.0,41.03236377239227
20.266348,22,3.067368,22.0,20.266348361968994
26.394522,30,3.089379,30.0,26.39452189207077
51.875754,55,3.128969,55.0,51.87575364112854
31.548652,35,3.154227,35.0,31.548651933670044
19.960665,22,3.171227,22.0,19.9606654047966
19.630589,22,3.186227,22.0,19.6305890083313
22.387669,25,3.205227,25.0,22.38766884803772
26.218584,29,3.224817,29.0,26.218583703041077
67.688188,77,3.283177,77.0,67.68818777799606
29.244025,32,3.305176,32.0,29.24402493238449
20.737559,23,3.323179,23.0,20.73755919933319
23.39371,25,3.342359,25.0,23.393709778785706
22.492969,24,3.358357,24.0,22.49296921491623
11.54519,13,3.367908,13.0,11.545189917087555
30.234274,32,3.389907,32.0,30.234274089336395
12.727095,14,3.401908,14.0,12.727094769477844
34.30297,37,3.427049,37.0,34.302969574928284
19.180213,22,3.44205,22.0,19.180212795734406
18.818981,20,3.461049,20.0,18.81898134946823
24.655944,27,3.481051,27.0,24.65594446659088
19.492645,21,3.494049,21.0,19.492644906044006
15.591221,17,3.506049,17.0,15.591220736503601
13.896191,15,3.520601,15.0,13.896190881729126
17.602517,19,3.53419,19.0,17.602516770362854
23.453542,25,3.551234,25.0,23.453542172908783
9.693047,11,3.556822,11.0,9.693047285079956
13.725658,15,3.567956,15.0,13.725658357143402
14.964987,17,3.582003,17.0,14.964987456798553
21.446313,24,3.599002,24.0,21.446312963962555
17.970537,20,3.612002,20.0,17.97053748369217
14.834274,17,3.624554,17.0,14.834273755550385
60.858314,65,3.670134,65.0,60.85831439495087
15.496225,17,3.683145,17.0,15.496224701404572
8.924605,10,3.690148,10.0,8.924604713916779
23.592758,26,3.709233,26.0,23.592757880687714
24.122445,28,3.735218,28.0,24.122445464134216
10.81883,12,3.744216,12.0,10.818829894065857
19.051153,21,3.759216,21.0,19.05115258693695
12.338815,14,3.769216,14.0,12.338814854621887
16.23304,18,3.783216,18.0,16.233039677143097
51.726138,56,3.821768,56.0,51.726138055324554
19.598294,22,3.837345,22.0,19.598293960094452
24.817019,27,3.858117,27.0,24.817018926143646
21.939341,24,3.875349,24.0,21.939341008663177
12.639799,14,3.885349,14.0,12.639799237251282
20.992264,23,3.902349,23.0,20.992264330387115
28.244195,31,3.926496,31.0,28.2441948056221
45.388934,47,3.96509,47.0,45.388934433460236
78.30268,85,4.025782,85.0,78.30267989635468
16.726986,19,4.039373,19.0,16.726986169815063
31.925671,35,4.064541,35.0,31.925671458244324
9.779738,11,4.073237,11.0,9.779738068580627
39.042344,43,4.120529,43.0,39.042343854904175
20.216614,23,4.140016,23.0,20.216614186763763
114.079939,133,4.232099,133.0,114.07993912696838
25.372499,27,4.251099,27.0,25.372499108314514
20.56412,22,4.265667,22.0,20.564120173454285
19.53027,22,4.282188,22.0,19.530270099639893
13.945714,16,4.292189,16.0,13.945713877677917
16.541875,19,4.3062,19.0,16.541874587535858
17.027576,20,4.318735,20.0,17.027575969696045
14.638473,16,4.331157,16.0,14.638472557067871
51.519185,57,5.701299,57.0,51.519184708595276
39.997089,45,5.733335,45.0,39.997088611125946
24.763334,26,5.752866,26.0,24.763334214687347
15.534315,17,5.766377,17.0,15.534314811229706
26.53839,29,5.789987,29.0,26.53838962316513
32.658855,35,5.814981,35.0,32.65885478258133
25.551884,28,5.835005,28.0,25.551884353160858
21.623672,24,5.851542,24.0,21.623672485351562
31.737585,35,5.875154,35.0,31.737584590911865
