#{"t_start": 1783190977.4595783, "env_id": "CartPole-v1"}
r,l,t,original_reward,shaped_reward
25.046707,25,0.044201,25.0,25.046706524416805
35.044117,35,0.078239,35.0,35.044117092276
14.053785,14,0.09077,14.0,14.053785169310867
54.064488,54,0.135385,54.0,54.06448760095984
16.029205,16,0.14827,16.0,16.029205070510507
10.061371,10,0.159319,10.0,10.061370900012554
16.011076,16,0.173622,16.0,16.01107638719492
14.033933,14,0.186219,14.0,14.033933233190329
27.025759,27,0.211163,27.0,27.02575927882921
46.089003,46,0.248419,46.0,46.08900255158544
20.018669,20,0.264266,20.0,20.01866904353723
30.017268,30,0.290047,30.0,30.017267852935486
38.03718,38,0.323212,38.0,38.03718029016947
24.054111,24,0.343435,24.0,24.054110821522773
21.043885,21,0.36259,21.0,21.043884763885288
18.049643,18,0.380112,18.0,18.049643005421387
34.041927,34,0.410478,34.0,34.04192701159045
24.044202,24,0.43438,24.0,24.044202222526074
9.052566,9,0.44275,9.0,9.052566158473493
24.033349,24,0.465496,24.0,24.03334916549735
18.017863,18,0.485022,18.0,18.017862715902737
18.029913,18,0.500708,18.0,18.029913026820868
75.095045,75,0.569412,75.0,75.09504468292229
14.031364,14,0.582298,14.0,14.031363910716028
15.017032,15,0.595501,15.0,15.017032430311664
22.025767,22,0.616604,22.0,22.025766990608535
13.051862,13,0.629784,13.0,13.051862029917539
31.028192,31,0.655342,31.0,31.02819191543852
12.049462,12,0.671362,12.0,12.049462213106453
25.018261,25,0.696662,25.0,25.01826072057709
17.043495,17,0.711842,17.0,17.0434954610467
15.02579,15,0.723478,15.0,15.025790434274823
17.037436,17,0.738412,17.0,17.03743556147441
20.02306,20,0.754586,20.0,20.02306013553636
14.052871,14,0.768163,14.0,14.052871209029108
32.057246,32,0.795856,32.0,32.05724629437552
17.041958,17,0.808392,17.0,17.041957978047428
8.055633,8,0.8144,8.0,8.055632837638258
19.043237,19,0.830403,19.0,19.04323654009029
29.047636,29,0.854189,29.0,29.04763577860315
26.044342,26,0.87519,26.0,26.044341636414178
19.037415,19,0.892717,19.0,19.037414894988764
16.041144,16,0.905246,16.0,16.041144046662378
12.047613,12,0.914366,12.0,12.047613155581057
19.023327,19,0.933379,19.0,19.023326988825573
22.066056,22,0.955498,22.0,22.06605590851978
20.027116,20,0.970495,20.0,20.027115740305746
13.03444,13,0.981155,13.0,13.034440351715311
31.053579,31,1.005301,31.0,31.05357948411722
12.055191,12,1.01634,12.0,12.05519098151475
14.062411,14,1.027583,14.0,14.062411400098355
46.0932,46,1.064475,46.0,46.09319996349514
17.038612,17,1.078494,17.0,17.03861223882064
20.04585,20,1.098131,20.0,20.04585031464696
19.035368,19,1.112135,19.0,19.03536764768883
10.020025,10,1.119153,10.0,10.020025410857052
11.020227,11,1.127203,11.0,11.020226842625998
43.038946,43,1.16039,43.0,43.03894575261976
18.032209,18,1.176558,18.0,18.032208896218798
22.053308,22,1.191884,22.0,22.053308206368243
28.022704,28,1.215162,28.0,28.02270415711217
9.058093,9,1.221658,9.0,9.05809252921492
11.056153,11,1.234206,11.0,11.0561533305794
13.025137,13,1.243859,13.0,13.025137287424876
19.031518,19,1.259269,19.0,19.03151842654217
16.034972,16,1.275289,16.0,16.034972490542568
10.044798,10,1.28231,10.0,10.044797984547913
12.042471,12,1.291013,12.0,12.042470590667799
50.05162,50,1.329326,50.0,50.05161960824392
9.051269,9,1.336425,9.0,9.051269341371952
21.056075,21,1.351881,21.0,21.056075300755914
36.051131,36,1.380461,36.0,36.05113092187793
20.028231,20,1.397402,20.0,20.028230502344666
24.02699,24,1.414952,24.0,24.026989672821948
19.046592,19,1.430633,19.0,19.04659233657643
14.061175,14,1.441255,14.0,14.061175046861171
15.037973,15,1.453255,15.0,15.037973017934709
11.051826,11,1.461255,11.0,11.051826330907643
24.037468,24,1.480499,24.0,24.037468111002813
24.047211,24,1.502322,24.0,24.047210741015153
12.01572,12,1.514586,12.0,12.01571995803155
67.132094,67,1.564232,67.0,67.13209441294894
17.062613,17,1.577252,17.0,17.0626131760329
25.016457,25,1.59731,25.0,25.01645715918392
39.035698,39,1.626495,39.0,39.03569799864665
27.078882,27,1.647527,27.0,27.07888175278902
29.062729,29,1.670522,29.0,29.06272921605036
21.073208,21,1.689984,21.0,21.07320810186677
21.061122,21,1.704956,21.0,21.061121767237786
12.025607,12,1.714483,12.0,12.025606733006427
10.024479,10,1.721483,10.0,10.024478646973147
19.040313,19,1.739182,19.0,19.040313182082027
10.026116,10,1.74718,10.0,10.026115572191774
31.065161,31,3.224897,31.0,31.065161357959724
45.083246,45,3.266913,45.0,45.08324608282652
53.047277,53,3.316459,53.0,53.047276684499224
19.028687,19,3.332052,19.0,19.028687162278217
25.05006,25,3.353743,25.0,25.05005982654169
24.058531,24,3.372044,24.0,24.05853135989979
17.038235,17,3.388452,17.0,17.03823481805157
13.055595,13,3.400195,13.0,13.055594690497964
19.031163,19,3.416162,19.0,19.031162987984715
14.010523,14,3.428364,14.0,14.010522706839255
20.061287,20,3.448003,20.0,20.061287446200147
16.023105,16,3.46309,16.0,16.02310505599715
11.056955,11,3.472101,11.0,11.056955389454961
38.06279,38,3.500344,38.0,38.06278983836994
15.041721,15,3.513854,15.0,15.04172059826553
19.046955,19,3.529872,19.0,19.0469552338589
17.053448,17,3.546372,17.0,17.053448079526426
44.073094,44,3.584039,44.0,44.07309351508156
55.051014,55,3.637304,55.0,55.05101407119073
34.047051,34,3.666176,34.0,34.0470507617807
43.082278,43,3.698871,43.0,43.082277870778924
38.075369,38,3.729183,38.0,38.07536925617606
14.040278,14,3.742036,14.0,14.040278265122325
28.072825,28,3.763012,28.0,28.072825083853672
67.049956,67,3.820792,67.0,67.04995626932943
33.061236,33,3.853177,33.0,33.06123558122665
22.065114,22,3.872127,22.0,22.065113533213733
51.083631,51,3.91499,51.0,51.08363054294139
34.044767,34,3.944092,34.0,34.04476711469703
20.057073,20,3.963612,20.0,20.057073345915416
23.039227,23,3.984183,23.0,23.039226704044268
32.038539,32,4.012379,32.0,32.03853909137659
17.022164,17,4.028251,17.0,17.022164401593617
24.070862,24,4.050904,24.0,24.07086241401732
12.015557,12,4.059471,12.0,12.015556770041584
24.051751,24,4.081379,24.0,24.05175127411261
29.054337,29,4.106135,29.0,29.054337177309204
33.055974,33,4.133261,33.0,33.05597391810269
15.039719,15,4.149237,15.0,15.039719252651558
18.020804,18,4.162935,18.0,18.020803555799645
14.015956,14,4.176558,14.0,14.015956423925235
9.056818,9,4.183585,9.0,9.056817866899074
30.02957,30,4.207199,30.0,30.02957038705703
66.107744,66,4.258519,66.0,66.10774376701566
14.04775,14,4.269988,14.0,14.047750389501452
16.0482,16,4.287521,16.0,16.048200200535355
91.117109,91,4.363526,91.0,91.11710911959408
27.04708,27,4.384273,27.0,27.047080044299367
26.018088,26,4.403332,26.0,26.018088102606125
31.070346,31,4.426355,31.0,31.070345564633612
24.059154,24,4.445356,24.0,24.059153603687882
19.06267,19,4.463361,19.0,19.062669530571437
30.018658,30,4.487644,30.0,30.018658312740733
33.046758,33,4.514209,33.0,33.04675760956481
26.056391,26,4.53819,26.0,26.056390687953687
34.061301,34,4.568178,34.0,34.061300680246205
18.032256,18,4.582522,18.0,18.032255520988254
29.077192,29,4.605211,29.0,29.077191893868143
33.044412,33,4.631406,33.0,33.04441169025376
69.076114,69,4.689526,69.0,69.07611422532239
22.062099,22,4.705506,22.0,22.062099055759607
34.05823,34,4.731143,34.0,34.05822971504182
27.053208,27,4.753366,27.0,27.053207847960294
15.045755,15,4.765529,15.0,15.045755489692091
24.02262,24,4.784626,24.0,24.022620371241356
99.138114,99,4.873916,99.0,99.13811357516796
48.048615,48,4.912186,48.0,48.04861504101193
48.060077,48,4.951206,48.0,48.06007713562809
68.115299,68,6.326034,68.0,68.11529905103146
50.05819,50,6.368207,50.0,50.058190312092194
32.034172,32,6.397234,32.0,32.034171529525196
47.065956,47,6.438036,47.0,47.06595574841834
53.044177,53,6.47858,53.0,53.044176830246585
129.182982,129,6.57646,129.0,129.1829822294414
40.044084,40,6.608054,40.0,40.044083716662136
74.074335,74,6.669206,74.0,74.07433513836703
22.02642,22,6.686212,22.0,22.026420158594558
41.070659,41,6.717253,41.0,41.07065851350315
25.046156,25,6.738067,25.0,25.04615594972856
17.024808,17,6.751076,17.0,17.02480764233973
34.047783,34,6.780265,34.0,34.047782887928186
19.054423,19,6.800257,19.0,19.054423391334712
17.032147,17,6.816287,17.0,17.03214656862896
12.060363,12,6.826292,12.0,12.060362558327613
10.020243,10,6.83329,10.0,10.020243201740085
74.043909,74,6.892507,74.0,74.04390934702941
58.090621,58,6.939191,58.0,58.09062061115169
20.067744,20,6.958192,20.0,20.067744072489436
17.054642,17,6.974147,17.0,17.054642133489253
13.047844,13,6.984147,13.0,13.04784424779471
21.035014,21,7.003032,21.0,21.03501436159015
18.059401,18,9.058209,18.0,18.059400722943245
54.100907,54,9.107412,54.0,54.10090675733983
56.032153,56,9.156175,56.0,56.03215302972354
30.023216,30,9.181218,30.0,30.023215980706738
32.063378,32,9.211305,32.0,32.063378296494484
27.06799,27,9.231304,27.0,27.067989508286118
32.03705,32,9.260014,32.0,32.037050440052994
20.066708,20,9.275105,20.0,20.066707658655943
19.047276,19,9.291105,19.0,19.04727602671832
16.020064,16,9.303853,16.0,16.020064417591783
21.024096,21,9.321476,21.0,21.02409647900611
20.070993,20,9.339098,20.0,20.070993461869655
12.05495,12,9.34808,12.0,12.05494972843677
27.04984,27,9.369099,27.0,27.049839886599216
65.119947,65,9.423331,65.0,65.1199465996167
56.080133,56,9.470216,56.0,56.080133303273456
51.05716,51,9.516415,51.0,51.05715961372945
36.070369,36,9.546384,36.0,36.07036935964598
13.05673,13,9.557982,13.0,13.056729866266249
12.059553,12,9.569174,12.0,12.059553005322813
16.061433,16,9.582212,16.0,16.06143274612725
52.070567,52,9.6254,52.0,52.07056729311123
47.059076,47,9.669415,47.0,47.05907561468891
25.038938,25,9.692375,25.0,25.038937518270686
19.063934,19,9.711413,19.0,19.06393424814567
22.058185,22,9.738736,22.0,22.05818534865975
17.041165,17,9.751259,17.0,17.04116510134656
115.13512,115,9.843032,115.0,115.13511981093208
45.041828,45,9.879484,45.0,45.04182810681872
13.048617,13,9.890232,13.0,13.04861680259928
17.034544,17,9.905322,17.0,17.034543780316596
90.156846,90,9.983006,90.0,90.15684585066742
34.061002,34,10.009032,34.0,34.06100167933619
18.03856,18,10.023612,18.0,18.038560079131276
55.077498,55,11.502382,55.0,55.07749815978109
10.041884,10,11.510386,10.0,10.041884160898626
142.128132,142,11.630377,142.0,142.1281319916714
16.050609,16,11.643413,16.0,16.05060874570161
14.016163,14,11.654927,14.0,14.01616274660104
100.132598,100,11.735921,100.0,100.13259812009987
75.103628,75,11.799551,75.0,75.10362807682716
19.042998,19,11.816063,19.0,19.042997567574492
34.061563,34,11.845489,34.0,34.0615626572771
138.137373,138,11.951233,138.0,138.13737341629857
109.144687,109,12.040044,109.0,109.14468728045469
73.075004,73,12.104318,73.0,73.07500445783138
109.235319,109,12.213204,109.0,109.23531893462408
62.099791,62,12.259004,62.0,62.09979107195515
28.054554,28,12.281005,28.0,28.054553943499922
14.034467,14,12.292547,14.0,14.03446658208966
110.136129,110,12.38027,110.0,110.13612883271644
39.093457,39,12.412034,39.0,39.093456822074955
51.077529,51,12.450092,51.0,51.077529058258534
66.112448,66,12.504704,66.0,66.11244829621165
89.062846,89,12.58619,89.0,89.06284636665606
34.078113,34,12.616134,34.0,34.07811342023313
92.075092,92,12.701439,92.0,92.07509191693273
13.028064,13,12.712448,13.0,13.028064171411096
27.053603,27,12.733971,27.0,27.053602838255465
57.056258,57,12.777354,57.0,57.05625766913638
99.149309,99,12.873358,99.0,99.14930909905118
59.140774,59,12.931078,59.0,59.14077433198692
47.073507,47,12.97134,47.0,47.073507312191644
25.052354,25,12.990902,25.0,25.05235406816937
50.104472,50,13.033056,50.0,50.10447155885399
15.05758,15,13.045048,15.0,15.057579859346152
123.099933,123,13.146921,123.0,123.09993279496905
46.069104,46,13.188979,46.0,46.06910400518681
127.091155,127,14.682491,127.0,127.0911553252907
102.227098,102,14.766919,102.0,102.22709750551734
74.075885,74,14.83127,74.0,74.07588548236293
189.221784,189,14.97826,189.0,189.2217838560416
111.183816,111,15.06733,111.0,111.18381550604474
153.199157,153,15.204298,153.0,153.19915656111672
82.078678,82,15.266963,82.0,82.07867802479419
113.261888,113,15.355899,113.0,113.26188755605371
139.191661,139,15.463587,139.0,139.19166082493962
224.241613,224,15.646158,224.0,224.24161338187514
58.090569,58,15.69699,58.0,58.090569368833684
109.071048,109,15.78633,109.0,109.07104764220774
130.185777,130,15.894337,130.0,130.1857765018009
33.04763,33,15.926162,33.0,33.0476295579318
173.217938,173,16.083471,173.0,173.21793766100902
166.24644,166,17.930858,166.0,166.24643990449607
79.081241,79,17.997104,79.0,79.08124090393075
119.20367,119,19.482124,119.0,119.20367032818497
273.246481,273,19.723957,273.0,273.2464808174038
226.277316,226,19.902871,226.0,226.27731602865265
166.249621,166,20.044013,166.0,166.24962107287732
254.278649,254,20.251946,254.0,254.2786485185591
273.274933,273,20.478894,273.0,273.27493267385745
144.227991,144,20.602309,144.0,144.2279906515777
222.267995,222,20.778242,222.0,222.26799481644295
177.238286,177,20.914693,177.0,177.2382860966865
136.250789,136,21.028013,136.0,136.25078937262296
299.341082,299,22.657053,299.0,299.3410823042878
181.274495,181,22.803103,181.0,181.27449543118007
150.167006,150,22.942108,150.0,150.16700573723767
153.193732,153,23.082195,153.0,153.19373226353898
170.253463,170,23.255886,170.0,170.2534627933334
116.213024,116,23.361147,116.0,116.21302366166371
342.291226,342,23.67493,342.0,342.2912262446916
212.289736,212,23.837892,212.0,212.28973575653515
362.400262,362,24.142152,362.0,362.40026236743176
132.217939,132,25.654132,132.0,132.21793938731773
333.438846,333,25.940122,333.0,333.438845675839
223.3445,223,26.123999,223.0,223.34449963450427
280.420764,280,28.691958,280.0,280.4207636035233
142.159425,142,28.801005,142.0,142.15942522323687
176.269072,176,28.947745,176.0,176.26907192602766
227.320145,227,29.158964,227.0,227.32014471629654
197.332205,197,29.329554,197.0,197.33220454908906
189.272144,189,29.481747,189.0,189.2721435901895
378.552053,378,31.198031,378.0,378.55205322869114
370.512844,370,31.503663,370.0,370.5128436874788
275.475829,275,31.735595,275.0,275.4758285675616
311.502508,311,32.003916,311.0,311.5025083945133
184.224699,184,32.158018,184.0,184.22469908303592
172.146878,172,32.297948,172.0,172.1468780750968
497.567635,497,32.738014,497.0,497.5676346142408
224.288879,224,34.378824,224.0,224.28887909829615
257.385062,257,34.58787,257.0,257.385062176208
157.149823,157,34.718899,157.0,157.1498229662888
420.484513,420,35.062613,420.0,420.4845128470892
307.330759,307,35.317966,307.0,307.33075861489425
500.273134,500,38.607531,500.0,500.27313414464453
488.569164,488,40.466609,488.0,488.5691635296141
435.401278,435,40.812616,435.0,435.4012776121192
356.348977,356,41.090719,356.0,356.3489771742889
349.279828,349,41.369553,349.0,349.27982759506455
500.61739,500,41.78066,500.0,500.6173902780048
500.634573,500,43.566639,500.0,500.6345725180716
500.442229,500,44.007546,500.0,500.44222939982524
500.762181,500,44.400652,500.0,500.76218124835776
286.341137,286,44.647109,286.0,286.3411374991014
488.599677,488,45.047126,488.0,488.5996772303807
201.167084,201,46.566713,201.0,201.1670835339462
500.381399,500,49.916508,500.0,500.38139874474973
500.425984,500,50.324983,500.0,500.4259842680165
500.335069,500,50.744923,500.0,500.3350693290772
353.6593,353,51.036315,353.0,353.65929987368145
500.659353,500,52.776609,500.0,500.6593528026408
500.241925,500,53.173807,500.0,500.2419246619523
500.405948,500,53.588604,500.0,500.4059477785001
500.311034,500,54.042429,500.0,500.31103426487675
500.501289,500,55.88242,500.0,500.5012885889316
500.479639,500,56.285525,500.0,500.47963851092186
500.509047,500,59.670293,500.0,500.50904749202545
500.559453,500,60.088313,500.0,500.5594533777886
500.254461,500,61.8544,500.0,500.25446144161305
500.317811,500,62.26447,500.0,500.31781050449683
500.226191,500,62.662221,500.0,500.22619128117645
500.198348,500,63.070166,500.0,500.19834817628765
500.287223,500,64.930522,500.0,500.28722278930695
500.273298,500,65.351314,500.0,500.27329772545886
500.409669,500,65.786238,500.0,500.4096689090227
500.367611,500,66.192903,500.0,500.3676112103647
500.359886,500,70.926163,500.0,500.3598858665586
500.470873,500,71.338156,500.0,500.470873091221
500.26121,500,71.766269,500.0,500.2612096926269
500.237594,500,72.167003,500.0,500.23759375438317
500.497085,500,74.087242,500.0,500.49708505697566
500.377112,500,74.514011,500.0,500.37711170434045
500.49628,500,74.938215,500.0,500.49627958571557
500.370605,500,75.345498,500.0,500.37060474585724
500.251972,500,77.246222,500.0,500.25197190630627
500.393009,500,77.673012,500.0,500.3930087714315
500.405212,500,81.062141,500.0,500.40521208525564
500.383604,500,81.479192,500.0,500.38360429586356
500.390284,500,83.294977,500.0,500.39028400946415
500.251148,500,83.727037,500.0,500.25114803707686
500.310081,500,84.139229,500.0,500.3100812358479
500.324445,500,84.549941,500.0,500.32444462778005
500.307884,500,86.447632,500.0,500.3078836695987
500.26931,500,86.850528,500.0,500.2693096338868
500.284013,500,87.261787,500.0,500.2840133497309
500.324456,500,87.681328,500.0,500.3244562850708
500.342272,500,92.483768,500.0,500.34227221858725
500.255389,500,92.892899,500.0,500.2553887556799
500.321021,500,93.319861,500.0,500.3210208016983
500.529396,500,93.752682,500.0,500.5293958870511
500.418139,500,95.770684,500.0,500.4181387017488
500.395763,500,96.210649,500.0,500.39576281392004
500.240792,500,96.696518,500.0,500.2407915067906
500.26113,500,97.1757,500.0,500.261130117854
500.298372,500,97.666261,500.0,500.29837241966186
500.319382,500,99.645791,500.0,500.3193815773535
500.260541,500,103.48735,500.0,500.26054065031934
500.156974,500,103.98134,500.0,500.1569744216986
500.169696,500,104.4976,500.0,500.1696955343631
500.299163,500,106.618432,500.0,500.2991630733761
500.210586,500,107.120727,500.0,500.21058580776673
500.263753,500,107.600521,500.0,500.26375289462544
500.100189,500,108.078568,500.0,500.1001889922342
500.209885,500,110.148929,500.0,500.2098847683584
500.127671,500,110.633506,500.0,500.12767087378944
500.161907,500,111.10737,500.0,500.1619072755772
500.139423,500,114.38467,500.0,500.13942263506067
500.177439,500,116.192587,500.0,500.1774387603633
500.17173,500,116.668839,500.0,500.1717295182983
500.129956,500,117.083427,500.0,500.12995554510394
500.205104,500,117.501231,500.0,500.20510385668416
500.190837,500,119.355518,500.0,500.1908365551659
500.152619,500,119.774121,500.0,500.15261877091086
500.188448,500,120.190334,500.0,500.18844834450556
500.187538,500,120.596442,500.0,500.1875384974099
500.236447,500,122.565274,500.0,500.23644719111934
500.278441,500,125.88243,500.0,500.2784414338904
500.274467,500,126.339349,500.0,500.2744669863629
500.260395,500,126.752749,500.0,500.26039452185415
500.236445,500,128.714233,500.0,500.236444618045
500.147265,500,129.15419,500.0,500.1472650760295
500.160063,500,129.613132,500.0,500.1600634502925
500.182559,500,130.087224,500.0,500.18255851134876
500.126014,500,131.931099,500.0,500.126013982705
500.229702,500,132.341133,500.0,500.2297020618712
500.19919,500,132.759079,500.0,500.1991897047872
500.150348,500,136.049325,500.0,500.15034823211454
500.200281,500,137.888111,500.0,500.2002813755955
500.148141,500,138.310891,500.0,500.14814080253433
500.132851,500,138.755038,500.0,500.1328509031095
500.182212,500,139.16801,500.0,500.18221231756235
500.154901,500,140.993805,500.0,500.1549012653416
500.133385,500,141.408873,500.0,500.1333848240849
500.079792,500,141.885641,500.0,500.079791853983
500.079235,500,142.310717,500.0,500.07923507291684
500.142917,500,142.721047,500.0,500.1429173556554
500.170594,500,147.441709,500.0,500.17059421595417
500.131016,500,147.878941,500.0,500.13101608097367
500.136934,500,148.307203,500.0,500.13693350918663
500.146819,500,148.704892,500.0,500.1468185321847
500.146713,500,150.60299,500.0,500.1467133666104
500.112054,500,151.015288,500.0,500.11205352320314
500.085139,500,151.427346,500.0,500.08513885229956
500.139787,500,151.891304,500.0,500.1397869519521
500.120526,500,153.730874,500.0,500.1205264170302
500.120121,500,154.145584,500.0,500.1201212883332
500.20237,500,157.394825,500.0,500.20237033289084
500.080455,500,157.803841,500.0,500.0804550779577
500.1174,500,159.684386,500.0,500.11739996066785
500.138163,500,160.095339,500.0,500.13816291047027
500.112866,500,160.505328,500.0,500.1128662803921
500.107017,500,160.938392,500.0,500.10701700331475
500.140927,500,162.771407,500.0,500.1409273171102
500.159122,500,163.186743,500.0,500.15912237050276
500.133248,500,163.615793,500.0,500.1332478658622
500.134032,500,164.023468,500.0,500.13403150544934
500.103047,500,168.727358,500.0,500.1030465091865
500.119127,500,169.143348,500.0,500.1191265059212
500.116838,500,169.567245,500.0,500.116838487894
500.126216,500,169.978594,500.0,500.12621580324577
500.13362,500,171.838314,500.0,500.1336197549634
500.128963,500,172.258589,500.0,500.1289627363262
500.136873,500,172.72664,500.0,500.13687342913556
500.104616,500,173.159478,500.0,500.10461613902294
500.100822,500,174.959312,500.0,500.10082182819036
500.0776,500,175.375058,500.0,500.0776001858261
500.07112,500,178.703279,500.0,500.071119985283
500.143828,500,179.123531,500.0,500.1438278716914
500.126681,500,180.905525,500.0,500.1266810018375
500.076224,500,181.31315,500.0,500.0762240943416
500.089551,500,181.731023,500.0,500.089551266599
500.057017,500,182.17716,500.0,500.05701719264397
500.066465,500,183.946254,500.0,500.06646549329344
500.102295,500,184.345186,500.0,500.1022947648289
500.080756,500,184.761852,500.0,500.08075607393226
500.078227,500,185.167002,500.0,500.07822742315506
500.129781,500,189.669115,500.0,500.1297811132713
500.153901,500,190.079043,500.0,500.15390118573754
500.090912,500,190.475819,500.0,500.09091234640533
500.12446,500,190.891038,500.0,500.12446038092247
500.100544,500,191.301328,500.0,500.1005438366841
500.172268,500,193.172111,500.0,500.17226793173177
500.192622,500,193.607028,500.0,500.19262203948466
500.199881,500,194.008292,500.0,500.19988056792397
500.160001,500,194.424134,500.0,500.1600011678179
500.122813,500,196.261942,500.0,500.12281328745166
