#{"t_start": 1783344319.7699375, "env_id": "LunarLander-v3"}
r,l,t,original_reward,shaped_reward
-350.905616,83,0.125122,-246.246015410641,-350.90561570227146
-325.079706,116,0.274273,-198.96876309578278,-325.0797061100602
-697.11204,110,0.391615,-508.8664952627341,-697.1120398342609
-442.874149,73,0.484672,-327.85693194079926,-442.8741488456726
-267.971255,111,0.603523,-153.53928918966028,-267.97125466912985
-254.702137,73,0.687611,-171.4900182681775,-254.70213729143143
-721.483935,114,0.811227,-505.25606006720346,-721.4839346706867
-214.584983,115,0.933834,-128.3979586832022,-214.58498321473598
-170.410205,79,1.040878,-112.50930299084274,-170.41020530462265
-112.651307,68,1.134845,-67.72014862460438,-112.65130650997162
-379.19828,132,1.323225,-228.3753226339386,-379.19827952980995
-211.183008,100,1.454919,-118.24593697404231,-211.18300821632147
-168.999881,60,1.534992,-99.55633608357019,-168.99988122284412
-568.51352,94,1.653876,-412.0770361190505,-568.5135196000338
-355.668961,94,1.775435,-232.4561313717316,-355.66896066069603
-228.566508,107,1.901127,-156.5607652400529,-228.5665084645152
-416.081275,98,2.016896,-290.92994486293037,-416.0812754109502
-107.934602,80,2.109996,-68.42163787744522,-107.93460166454315
-167.000156,71,2.192883,-114.96685757915556,-167.00015634298325
-250.915551,135,2.356,-149.7370018294967,-250.91555124148726
-478.195637,99,2.474077,-325.4263049192193,-478.19563680142164
-157.609116,94,12.970892,-110.99005738117263,-157.60911619663239
-246.653152,77,13.065961,-163.77783114299507,-246.65315157175064
-140.804911,69,13.155642,-83.40562086905129,-140.80491081625223
-92.882741,71,13.251899,-30.52910145610643,-92.8827411942184
-292.172349,148,13.479906,-148.21577081993937,-292.17234869953245
-104.309011,64,13.571982,-70.33863395996678,-104.30901107471436
-201.069541,76,13.680126,-131.00881430158847,-201.06954118981957
-212.315712,115,13.858849,-128.00930833541423,-212.31571166589856
-160.460314,73,13.966945,-100.2699337753993,-160.46031396090984
-149.302792,71,14.078567,-93.88377518585852,-149.30279171466827
-157.508146,118,14.247407,-100.30041658520297,-157.508146032691
-250.63381,97,14.364717,-140.84434808152236,-250.6338102594018
-344.41593,120,14.516586,-218.06436731500935,-344.4159301966429
-301.572838,95,14.636675,-194.51562553429568,-301.5728378146887
-223.570489,100,14.756761,-127.63813474559281,-223.57048907503486
-260.740099,99,14.879689,-146.68559034538606,-260.74009941518307
-225.073339,77,14.975769,-148.98882120778728,-225.0733390673995
-225.356282,99,15.095877,-132.55775612438708,-225.35628172010183
-279.691978,100,15.215687,-160.2194625153738,-279.6919775567949
-319.113583,119,15.364792,-194.85057181211045,-319.11358281970024
-231.167565,99,15.485396,-124.8809037083366,-231.16756451502442
-126.795587,102,15.613616,-87.70163891445188,-126.79558718204498
-42.909667,87,23.624781,26.53194080775259,-42.909667402505875
-178.948025,85,23.75279,-98.19837688721309,-178.9480245374143
-121.429986,129,23.946794,-53.69251069157432,-121.42998614162207
-191.898265,129,24.155998,-114.80750680134771,-191.8982645086944
-125.385973,85,24.268697,-73.5921305181541,-125.38597310334444
-173.277431,76,24.363587,-126.56588423908656,-173.2774314880371
-216.022089,128,24.510389,-130.57014474981636,-216.022089086473
-33.901685,106,24.637479,29.405710024430732,-33.90168505162001
-195.434863,89,26.156715,-96.28999702375046,-195.43486266583204
-471.229586,81,26.261405,-327.5204998431931,-471.2295862734318
-157.404022,154,26.441557,-37.83894986452428,-157.4040224030614
-172.724559,83,26.541427,-119.87944731828226,-172.7245594933629
-344.956761,128,26.686515,-195.89160084847316,-344.95676074456424
-190.385655,96,26.797696,-124.68909529017205,-190.3856554105878
-176.053303,127,26.946555,-107.80827580437867,-176.05330258235335
-427.334126,114,27.082955,-304.28893119323413,-427.3341264296323
-76.366522,67,27.160652,-36.27264047197185,-76.3665218129754
-152.711364,68,27.240721,-81.38168828858242,-152.71136409044266
-331.459464,94,27.348315,-206.8705289732926,-331.4594644829631
-243.182456,143,36.051192,-133.69129057433094,-243.18245593830943
-162.02003,83,36.147137,-95.40871458918437,-162.02002972364426
-131.499318,80,36.24375,-80.4660415353589,-131.4993179142475
-215.724056,74,36.330342,-146.19618082787184,-215.7240562811494
-144.749939,70,36.412626,-89.71046427287311,-144.74993881583214
-165.261455,152,36.586275,-70.49845788963232,-165.26145491749048
-96.014405,68,36.665341,-53.65437616052752,-96.01440487802029
-180.26435,126,36.812562,-111.8647548822004,-180.2643503844738
-199.468557,85,36.914642,-116.29923784407056,-199.46855718642473
-207.546576,65,36.990196,-133.64414997750316,-207.5465763360262
-347.571651,93,37.104414,-230.92317059567634,-347.5716509371996
-81.401551,94,37.21739,3.12717760397544,-81.40155094861984
-174.240456,98,37.332485,-105.56092341607157,-174.24045557156205
-224.05368,70,37.413551,-143.08239523395187,-224.05368020385504
-170.33895,81,37.510222,-98.46823168027908,-170.33894957602024
-287.929414,155,37.692371,-118.21082533914847,-287.9294135943055
-186.584195,133,37.842313,-111.56535833496086,-186.5841946043074
-235.609066,106,37.963667,-154.44338846941054,-235.60906641185284
-147.828059,68,38.043363,-83.20046956840818,-147.82805921137333
-194.820931,101,38.160568,-121.08110279956593,-194.82093134894967
-158.940695,62,38.233142,-100.24933678924516,-158.94069509394467
-328.904765,129,38.380419,-211.2900903768394,-328.9047652557492
-219.825955,98,47.122371,-136.65102916810875,-219.82595532387495
-151.762807,83,47.22463,-75.96653181386876,-151.76280685514212
-340.908684,161,47.425134,-158.83237470993694,-340.9086836501956
-483.072951,193,47.655381,-263.6164212048037,-483.0729508921504
-173.999606,74,47.745039,-104.33467063647743,-173.99960596859455
-76.765406,69,47.830016,-25.881615698193514,-76.76540601626039
-167.530612,103,47.958191,-106.37611402234893,-167.53061178326607
-126.838531,73,48.048289,-85.550996789293,-126.83853098750114
-109.721692,112,48.182467,-58.08319284743325,-109.72169242054224
-159.076253,95,48.299048,-95.01483459103909,-159.0762534290552
-159.591871,127,48.4502,-64.03745125520189,-159.59187093377113
-202.129116,129,48.60483,-111.21005198077233,-202.12911649048328
-544.932859,144,48.776715,-366.1687416342103,-544.9328588619828
-432.605776,104,48.902033,-276.74471402508425,-432.6057760566473
-381.770127,156,49.093244,-185.38574196794758,-381.7701270803809
-120.050303,75,49.182311,-76.0813573158503,-120.05030320584774
-91.345018,66,51.012104,-45.21882812430944,-91.34501826763153
-124.610657,189,51.250156,0.5694659505074782,-124.61065690219402
-140.978471,104,60.316904,-74.38771781685756,-140.978470928967
-175.399768,108,60.44002,-106.50873885292143,-175.39976832270622
-314.36001,101,60.555186,-208.34877692457894,-314.3600097373128
-159.263206,140,60.724706,-88.19388178130508,-159.26320648938417
-126.435397,104,60.845725,-57.58732897901434,-126.43539661169052
-205.295361,119,60.982831,-102.85194145760735,-205.29536072537303
-257.903308,163,61.171953,-140.24045873873706,-257.90330787561834
-86.19357,94,61.29791,-30.86828753420238,-86.19356998801231
-318.641116,113,61.439828,-205.38446665626543,-318.64111563935876
-268.636609,99,61.561131,-157.50840393868796,-268.6366089731455
-202.141627,123,61.707758,-99.49680255062395,-202.14162742719054
-158.893713,89,61.812763,-103.47779957417188,-158.89371301233768
-138.87715,75,61.897849,-59.582433107584414,-138.87714970856905
-320.23481,113,62.044848,-211.72990486997747,-320.23481031134725
-375.647583,179,62.264717,-139.352507392819,-375.64758333563805
-569.471232,217,62.524473,-311.8592967446641,-569.4712316170335
-140.761612,148,72.276816,-73.2921285256761,-140.76161208748817
-141.296192,78,72.36589,-82.16862722594601,-141.2961919605732
-278.512844,212,72.602879,-104.6090580483784,-278.51284404844046
-99.907243,94,72.712873,-31.678161187625633,-99.90724349021912
-136.252425,111,72.845998,-66.86370602239614,-136.25242538005114
-226.72382,107,72.966601,-142.12964254608917,-226.72382010519505
-158.071829,109,73.090753,-93.5872184672279,-158.07182851806283
-153.889336,95,73.200089,-93.11706152539709,-153.88933558762074
-212.66735,137,73.363746,-99.05165332478845,-212.6673499532044
-398.478776,221,73.619501,-216.61251585169032,-398.4787763431668
-808.451435,152,73.800509,-545.5480723394002,-808.4514353871346
-314.627107,154,73.97877,-131.82800069935809,-314.6271073818207
-379.493977,216,74.223572,-240.19008147424182,-379.49397722259164
-138.19231,148,74.395717,-47.26597642058307,-138.1923104673624
-144.816654,132,74.570546,-46.28184166161613,-144.81665383279324
-149.584362,103,83.069676,-66.41011429459088,-149.58436184376478
-565.491131,133,83.213444,-382.1858246298025,-565.4911305680871
-111.085588,118,83.346045,-25.840054893933228,-111.08558842539787
-169.558635,92,83.450706,-78.42599877862402,-169.5586351417005
-47.781297,91,83.552421,0.360218954819274,-47.781297005712986
-110.510039,107,83.673756,-41.10176931254796,-110.51003870740533
-317.351743,235,85.646102,-123.70503372074458,-317.3517430499196
-174.054827,156,85.8584,-104.61777093043052,-174.05482679698616
-363.523428,162,86.070355,-194.07375487951356,-363.52342765778303
-345.078551,154,86.265332,-192.91864609857168,-345.0785513725132
-334.449986,93,86.378432,-233.54795054465248,-334.44998636841774
-197.135169,158,86.57761,-101.90371154845643,-197.1351692378521
-224.646959,175,86.800445,-35.29452746719528,-224.6469594836235
-257.862325,107,86.928502,-162.9422480575227,-257.8623252213001
-336.803814,104,87.050611,-209.66944695150806,-336.80381356179714
-301.895312,186,95.155834,-178.1332037164467,-301.89531245082617
-401.526503,219,95.426163,-247.2324220266334,-401.5265032760799
-170.210485,104,95.550018,-57.55843021870895,-170.21048465371132
