#{"t_start": 1783343658.4113877, "env_id": "LunarLander-v3"}
r,l,t,original_reward,shaped_reward
-208.407617,118,0.155243,-208.40761737219313,-208.40761737219313
-105.76856,69,0.228655,-105.76855995324976,-105.76855995324976
-68.097236,64,0.292067,-68.09723626172686,-68.09723626172686
-85.882556,69,0.364144,-85.88255580993146,-85.88255580993146
-85.53822,77,0.446225,-85.53822009784251,-85.53822009784251
-344.162611,111,0.563653,-344.16261145779663,-344.16261145779663
-85.44333,114,0.683238,-85.44333011927583,-85.44333011927583
-20.036304,110,0.795389,-20.036304380154448,-20.036304380154448
36.218826,171,0.977137,36.21882592048584,36.21882592048584
-307.391877,143,1.130305,-307.39187694542227,-307.39187694542227
-188.749611,108,1.256382,-188.74961096250382,-188.74961096250382
-258.272756,113,1.389096,-258.272755785399,-258.272755785399
-297.615716,91,1.48378,-297.6157162975933,-297.6157162975933
-123.655875,118,1.610372,-123.65587508689451,-123.65587508689451
-131.650689,79,1.692957,-131.65068949882448,-131.65068949882448
-233.916352,108,1.808586,-233.9163517314874,-233.9163517314874
-152.317898,60,1.871376,-152.31789760540366,-152.31789760540366
-100.324262,65,1.939129,-100.32426243804049,-100.32426243804049
-101.451857,83,2.025008,-101.45185693614664,-101.45185693614664
-257.791751,98,2.129295,-257.7917508699196,-257.7917508699196
-117.785583,93,11.704275,-117.78558303628111,-117.78558303628111
-50.256116,70,11.775952,-50.2561155897799,-50.2561155897799
-98.496124,79,11.86003,-98.49612383667963,-98.49612383667963
-115.351058,82,11.95209,-115.3510579457793,-115.3510579457793
-144.968043,151,12.108811,-144.96804320903362,-144.96804320903362
-161.98932,93,12.206869,-161.98931969427355,-161.98931969427355
-147.22084,99,12.310029,-147.22083987805604,-147.22083987805604
-180.988546,81,12.392951,-180.98854575148704,-180.98854575148704
-111.407192,98,12.495651,-111.40719212271492,-111.40719212271492
-102.633616,98,12.597946,-102.63361615255018,-102.63361615255018
-299.847304,120,12.721706,-299.84730350940924,-299.84730350940924
-134.246452,80,12.801772,-134.24645150792293,-134.24645150792293
-86.415734,106,12.916088,-86.41573448914663,-86.41573448914663
-90.793917,99,13.035705,-90.79391679117873,-90.79391679117873
-109.965559,101,13.151736,-109.96555928524857,-109.96555928524857
-174.109089,135,13.357418,-174.10908858373045,-174.10908858373045
-83.401308,77,13.452986,-83.4013079564174,-83.4013079564174
-116.235849,107,13.612874,-116.2358491300848,-116.2358491300848
-137.892245,129,13.845403,-137.89224478612311,-137.89224478612311
-126.486805,94,13.986565,-126.48680485795205,-126.48680485795205
-111.746597,84,14.118968,-111.7465968289248,-111.7465968289248
-66.623561,156,22.986724,-66.62356076860752,-66.62356076860752
-153.48106,100,23.098839,-153.48105955178272,-153.48105955178272
-135.675452,80,23.18554,-135.67545198317237,-135.67545198317237
-136.979595,143,23.340779,-136.97959516949336,-136.97959516949336
-214.063045,165,23.554204,-214.0630446987044,-214.0630446987044
-251.691764,145,23.708615,-251.69176423740626,-251.69176423740626
-75.731511,93,23.808692,-75.73151061532137,-75.73151061532137
-425.675227,149,25.159535,-425.6752265894456,-425.6752265894456
-136.535835,96,25.306549,-136.53583507168972,-136.53583507168972
-128.593932,90,25.429904,-128.59393178671155,-128.59393178671155
-179.708836,121,25.566567,-179.70883629650393,-179.70883629650393
-113.293177,86,25.680752,-113.29317663393056,-113.29317663393056
-98.111698,94,25.799529,-98.11169768164365,-98.11169768164365
-68.083658,109,25.940798,-68.08365821133559,-68.08365821133559
-204.774965,117,26.060786,-204.77496489874744,-204.77496489874744
-220.979007,100,26.164454,-220.97900733891115,-220.97900733891115
-67.375859,72,26.238494,-67.37585933898202,-67.37585933898202
-247.490669,154,26.396688,-247.4906690076299,-247.4906690076299
-197.16817,144,36.490509,-197.168169759946,-197.168169759946
-269.575603,102,36.630672,-269.5756028974483,-269.5756028974483
-271.577105,125,36.782738,-271.5771047506861,-271.5771047506861
-176.988794,73,36.86938,-176.98879355053194,-176.98879355053194
-19.886776,96,36.977452,-19.886775981130256,-19.886775981130256
-89.981979,99,37.09138,-89.98197932638901,-89.98197932638901
-178.90172,86,37.182738,-178.9017200040617,-178.9017200040617
-105.744175,106,37.293558,-105.74417512508214,-105.74417512508214
-186.867631,153,37.450372,-186.86763111790324,-186.86763111790324
-48.62743,124,37.579685,-48.62742971563036,-48.62742971563036
-68.923414,94,37.677472,-68.92341432041144,-68.92341432041144
-220.518631,92,37.769562,-220.51863102539565,-220.51863102539565
-78.822741,104,37.880339,-78.82274060522951,-78.82274060522951
-103.078151,110,37.994262,-103.07815072096665,-103.07815072096665
-73.570401,79,38.075341,-73.5704007297698,-73.5704007297698
-344.212313,166,38.245838,-344.2123128243458,-344.2123128243458
-54.706269,101,38.353353,-54.706268684122314,-54.706268684122314
-125.989107,94,38.450547,-125.98910719609998,-125.98910719609998
-101.666652,74,38.526521,-101.66665233624771,-101.66665233624771
-123.072605,103,48.832392,-123.07260530970109,-123.07260530970109
-156.553598,121,48.967058,-156.55359844357258,-156.55359844357258
-98.067248,112,49.086364,-98.06724808893766,-98.06724808893766
-87.504749,61,49.159301,-87.50474865695683,-87.50474865695683
-284.3095,128,49.303471,-284.30949961959027,-284.30949961959027
-217.328306,169,49.49431,-217.32830601426053,-217.32830601426053
-246.800388,121,49.634108,-246.80038808965023,-246.80038808965023
-95.764541,115,49.761228,-95.76454114280048,-95.76454114280048
-30.831436,90,49.864212,-30.831435924197848,-30.831435924197848
-260.935973,184,50.072948,-260.93597280588426,-260.93597280588426
-197.729429,138,50.223519,-197.7294294784014,-197.7294294784014
-311.345414,95,50.320413,-311.34541392105166,-311.34541392105166
-95.611843,104,50.428101,-95.61184283400944,-95.61184283400944
-233.991935,130,50.561416,-233.99193543346232,-233.99193543346232
-143.342285,104,50.670526,-143.34228500011,-143.34228500011
-41.622152,74,50.749221,-41.622152196332564,-41.622152196332564
-85.233078,97,51.842206,-85.23307760865364,-85.23307760865364
-26.801488,177,63.036431,-26.80148804694271,-26.80148804694271
-104.317582,122,63.203083,-104.31758205371848,-104.31758205371848
-123.317287,127,63.408981,-123.31728653651837,-123.31728653651837
-161.156944,157,63.597162,-161.15694443259366,-161.15694443259366
-105.69385,93,63.693933,-105.69384957240212,-105.69384957240212
-260.20365,124,63.821035,-260.20365014644915,-260.20365014644915
-249.364238,116,63.943128,-249.3642378872969,-249.3642378872969
-257.917113,138,64.089098,-257.91711253666205,-257.91711253666205
-193.638251,125,64.216885,-193.6382511320659,-193.6382511320659
-104.353677,97,64.319905,-104.35367723238338,-104.35367723238338
-103.887735,136,64.459993,-103.88773472202307,-103.88773472202307
-109.928198,100,64.56318,-109.92819769754394,-109.92819769754394
-91.002942,105,64.67082,-91.00294183937464,-91.00294183937464
-106.993771,114,64.786731,-106.99377083084941,-106.99377083084941
-182.107544,226,65.018095,-182.10754355434813,-182.10754355434813
-191.898898,124,65.146219,-191.89889804776632,-191.89889804776632
-109.471513,121,65.268077,-109.47151333824364,-109.47151333824364
-40.698484,135,74.467001,-40.698483806562265,-40.698483806562265
-185.864584,151,74.622034,-185.86458396385584,-185.86458396385584
-73.076191,98,74.721626,-73.07619059778352,-73.07619059778352
-151.970554,93,74.820748,-151.9705541173387,-151.9705541173387
-34.643409,95,74.92028,-34.64340944277704,-34.64340944277704
-246.517712,140,75.060889,-246.51771187079697,-246.51771187079697
-69.149755,144,75.209785,-69.14975508841948,-69.14975508841948
-157.905316,128,75.341878,-157.90531643157857,-157.90531643157857
-69.93748,158,75.502535,-69.93747987815085,-69.93747987815085
-15.771039,111,75.618062,-15.771039460336056,-15.771039460336056
-229.586665,162,75.784941,-229.586664579557,-229.586664579557
-48.702316,97,75.887753,-48.702315827605275,-48.702315827605275
-295.793466,101,75.991996,-295.7934661718574,-295.7934661718574
-252.369296,224,76.230772,-252.36929561409482,-252.36929561409482
-56.9865,128,76.369659,-56.986499814992605,-56.986499814992605
-130.670585,112,85.097627,-130.67058503573048,-130.67058503573048
-119.41937,146,85.249842,-119.41936970794995,-119.41936970794995
-66.065409,126,85.377582,-66.06540905861544,-66.06540905861544
-30.99838,123,85.504485,-30.998380336809646,-30.998380336809646
-125.804974,140,85.648519,-125.80497350969355,-125.80497350969355
-62.592327,161,87.371445,-62.59232735764517,-62.59232735764517
-12.186307,202,87.576766,-12.186306941777957,-12.186306941777957
-34.673666,119,87.695847,-34.673666398119195,-34.673666398119195
-176.166473,119,87.815444,-176.16647335238235,-176.16647335238235
-76.517675,162,87.993453,-76.517674742337,-76.517674742337
-73.276925,203,88.209692,-73.27692509466645,-73.27692509466645
-120.615565,87,88.299973,-120.6155648099019,-120.6155648099019
-47.211999,242,88.547393,-47.21199868058716,-47.21199868058716
-51.141741,113,88.664776,-51.14174090625639,-51.14174090625639
-219.683027,124,99.726406,-219.68302672931642,-219.68302672931642
-64.991439,221,99.957685,-64.99143938628993,-64.99143938628993
-226.627491,161,100.124813,-226.6274906278698,-226.6274906278698
-94.968719,129,100.259587,-94.96871898145801,-94.96871898145801
21.172685,144,100.407202,21.17268486745367,21.17268486745367
-321.422302,269,100.685654,-321.4223016732933,-321.4223016732933
-135.008596,565,101.276378,-135.00859591401144,-135.00859591401144
