#{"t_start": 1783703571.5015461, "env_id": "LunarLander-v3"}
r,l,t,original_reward,shaped_reward
-122.714602,82,3.034639,-124.50184793364616,-122.71460235249609
-292.277629,103,3.131039,-295.0241950540066,-292.2776289503097
-73.83367,65,3.196661,-75.6893350371454,-73.83366958585718
-137.553953,91,3.29423,-139.19782641312395,-137.55395307859695
-281.965237,67,3.364949,-284.13189241047235,-281.96523713941906
-131.705926,81,3.446074,-133.23295737745028,-131.7059259367154
-138.556581,101,3.554887,-140.43307600046222,-138.55658083106107
-94.510589,79,3.645017,-96.1828360452228,-94.5105889262729
-113.2678,88,3.738155,-114.93063904065448,-113.26779993552523
-430.570681,118,3.83496,-433.949990374938,-430.5706808798466
-59.450236,64,3.89502,-60.99111774738746,-59.4502355461927
-178.802108,82,3.971208,-180.80945917798113,-178.80210800660677
-214.265264,66,4.038978,-216.56594824384243,-214.2652637047628
-147.318012,69,4.103896,-149.30798508556182,-147.31801189930732
-88.824824,60,4.164875,-90.62528497663126,-88.82482387509928
-223.970425,71,4.235873,-226.11470153506758,-223.97042484339244
-86.86198,72,4.305119,-88.68083489019644,-86.86198004145393
-106.159074,78,4.385945,-107.6748082011955,-106.15907426536252
-215.848875,107,4.506194,-218.2314937884937,-215.84887549353942
-355.841533,121,4.634799,-358.5490314317998,-355.8415329099949
-180.388506,75,4.723794,-182.3737218112232,-180.38850561742802
-248.790356,94,4.84115,-250.93140286288755,-248.7903558655788
-134.754564,106,4.978163,-136.74148943251112,-134.7545643991802
-225.902354,98,5.107922,-228.40790753589658,-225.90235428081544
-362.734056,81,6.743909,-365.1648052331743,-362.7340557190714
-150.88931,118,6.880838,-153.12500051929152,-150.88930954767855
-132.718496,146,7.05173,-135.28859014798357,-132.71849648405265
-53.908508,95,7.150692,-56.047525197588925,-53.90850807996942
-258.834091,79,7.223963,-261.1514517746828,-258.83409085735303
-317.434625,114,7.323972,-320.2425977839904,-317.4346246345714
-72.935928,69,7.392243,-74.57113092202508,-72.93592823702657
-199.467012,65,7.467677,-201.68563187923235,-199.4670117029171
9.204953,82,7.546675,7.225573212661473,9.20495288506956
-116.1348,117,7.676868,-118.33674895861024,-116.13479966618887
-40.257869,63,7.750956,-41.79837128822867,-40.25786938910548
-94.171578,77,7.835071,-95.95674378759837,-94.17157834000564
-218.262243,84,7.916101,-220.2160978657651,-218.26224287635566
-84.792475,82,7.998138,-86.37266759160889,-84.79247500721347
-105.139417,118,8.122718,-107.36566780111866,-105.13941709361148
-344.179473,121,8.257815,-346.93932888791073,-344.17947303280323
-68.353386,71,8.332883,-69.98725638311737,-68.3533862088286
-116.546632,70,8.41838,-118.2975923414089,-116.54663171003833
-350.735966,77,8.502973,-353.3798810628136,-350.7359661009987
-73.274092,60,8.572702,-74.89256279621878,-73.27409211788931
-129.901414,74,8.644822,-131.74755564272687,-129.9014142650394
-92.814198,82,8.733996,-94.50219484154943,-92.81419771020174
-104.255109,71,8.81806,-105.75800663580023,-104.25510870029052
-126.774775,116,10.550745,-128.50612976747334,-126.77477528768352
-167.606623,90,10.654998,-169.566172299312,-167.60662298493227
-170.030871,108,10.771816,-172.11681174806603,-170.03087088159566
-107.964924,79,10.849981,-109.93444368626109,-107.96492384816634
-114.187673,62,10.911992,-115.95701292774378,-114.18767316362558
-139.244091,63,10.981687,-141.25484806964272,-139.24409116217961
-88.477554,142,11.132628,-90.79848369213757,-88.47755384418184
-141.990146,108,11.245656,-144.61295855636638,-141.99014623518033
-83.577856,62,11.301351,-85.3476385921157,-83.57785640715721
-282.456491,132,12.694148,-285.3423875773864,-282.45649121114775
-101.489498,80,12.770902,-103.19542954565215,-101.48949781180545
-177.764947,134,12.916738,-180.66471011967204,-177.76494665712858
-169.03171,85,13.011558,-171.1058268027203,-169.03171043681073
-168.23009,130,13.146805,-170.81972778856698,-168.2300896793598
-77.33021,67,13.223951,-79.13988454085619,-77.33021040600566
-103.05613,85,13.315617,-104.59136338447834,-103.05612978433871
-221.500751,79,13.388735,-223.47733597142997,-221.50075143797693
-78.952521,78,13.474258,-80.66149382353255,-78.952521119122
-320.850912,88,13.574295,-323.2966812314413,-320.8509115507029
-371.813985,93,13.665661,-374.63299612612457,-371.81398458988394
-59.511471,67,13.729981,-61.380812684417585,-59.51147140872558
-111.678262,78,13.804145,-113.52414327583202,-111.67826206049804
-101.385423,113,15.389799,-103.30519807110889,-101.38542322527032
-320.582119,89,15.486063,-322.99392734242656,-320.5821190090296
-149.069052,133,15.628917,-151.82943743243786,-149.0690519227084
-64.695509,75,15.718549,-66.64547540727506,-64.69550867739571
-156.33544,89,15.814733,-158.35244737544997,-156.3354404530857
-47.297971,64,15.888505,-49.3227263918446,-47.29797106533513
-101.715533,116,15.982957,-103.54538059164244,-101.71553273249823
-137.991359,96,16.073727,-140.0832433297865,-137.9913588025801
-225.2306,138,16.213778,-228.03675512637977,-225.2305996390808
-93.498467,81,16.284911,-95.48075089656597,-93.49846706711534
-77.572896,77,16.354712,-79.28901365884687,-77.57289648243332
-233.227466,125,16.477926,-236.2518566565988,-233.22746606283152
-98.989994,122,16.604966,-101.10828747379759,-98.98999415981744
