#{"t_start": 1783344607.6991434, "env_id": "MountainCar-v0"}
r,l,t,original_reward,shaped_reward
-190.20406,200,0.23355,-200.0,-190.20406007766724
-170.388363,200,0.422729,-200.0,-170.38836324214935
-198.817041,200,0.613714,-200.0,-198.81704103946686
-199.298764,200,0.826563,-200.0,-199.29876405000687
-196.711577,200,1.036659,-200.0,-196.7115774154663
-198.494261,200,1.225758,-200.0,-198.49426120519638
-196.499771,200,1.42392,-200.0,-196.49977123737335
-190.930407,200,1.618699,-200.0,-190.93040710687637
-196.824041,200,1.814416,-200.0,-196.82404094934464
-186.314223,200,2.00871,-200.0,-186.3142232298851
-191.924907,200,10.539612,-200.0,-191.92490661144257
-198.717061,200,10.768814,-200.0,-198.71706092357635
-180.782039,200,10.99564,-200.0,-180.78203922510147
-196.022497,200,11.224547,-200.0,-196.0224974155426
-185.603046,200,11.437121,-200.0,-185.6030462384224
-198.138608,200,11.653427,-200.0,-198.13860815763474
-196.741647,200,11.860329,-200.0,-196.74164694547653
-197.312266,200,12.079662,-200.0,-197.3122656941414
-198.989562,200,12.288509,-200.0,-198.98956167697906
-197.869877,200,12.525497,-200.0,-197.86987739801407
-197.138254,200,21.476463,-200.0,-197.13825434446335
-195.042828,200,21.673416,-200.0,-195.04282772541046
-189.193125,200,21.867603,-200.0,-189.1931248307228
-198.704423,200,22.061297,-200.0,-198.7044234275818
-195.313788,200,22.255643,-200.0,-195.31378823518753
-198.045,200,23.818304,-200.0,-198.04499989748
-194.523105,200,24.007206,-200.0,-194.52310520410538
-174.921455,200,24.199183,-200.0,-174.9214551448822
-189.250948,200,24.391003,-200.0,-189.25094825029373
-184.646096,200,24.579003,-200.0,-184.64609551429749
-193.152844,200,31.836953,-200.0,-193.15284383296967
-181.716362,200,32.035137,-200.0,-181.71636182069778
-197.416686,200,32.251143,-200.0,-197.41668552160263
-194.650596,200,32.452303,-200.0,-194.65059566497803
-197.280217,200,32.652154,-200.0,-197.28021723031998
-196.866387,200,32.850258,-200.0,-196.8663866519928
-189.07115,200,33.05297,-200.0,-189.07115012407303
-197.442353,200,33.249382,-200.0,-197.44235283136368
-195.535779,200,33.442108,-200.0,-195.53577929735184
-198.159356,200,33.640203,-200.0,-198.15935570001602
-192.973966,200,42.953072,-200.0,-192.97396618127823
-192.923476,200,43.149026,-200.0,-192.92347621917725
-199.518413,200,43.338323,-200.0,-199.51841300725937
-190.697204,200,43.529088,-200.0,-190.6972041130066
-194.249614,200,43.716017,-200.0,-194.24961417913437
-198.139629,200,43.906171,-200.0,-198.13962906599045
-194.662278,200,44.094819,-200.0,-194.6622777581215
-192.278573,200,44.285107,-200.0,-192.2785730957985
-196.368823,200,44.475747,-200.0,-196.36882281303406
-190.818677,200,44.665997,-200.0,-190.81867665052414
-196.93733,200,46.203893,-200.0,-196.9373295903206
-196.293633,200,55.655578,-200.0,-196.2936327457428
-193.597133,200,55.855649,-200.0,-193.59713250398636
-198.861627,200,56.055717,-200.0,-198.86162716150284
-195.271533,200,56.252002,-200.0,-195.271533370018
-198.811101,200,56.444958,-200.0,-198.81110137701035
-196.343788,200,56.638749,-200.0,-196.34378826618195
-198.050261,200,56.831935,-200.0,-198.0502614378929
-195.094241,200,57.028722,-200.0,-195.0942406654358
-199.535419,200,57.222306,-200.0,-199.53541940450668
-187.513174,200,57.414672,-200.0,-187.51317417621613
-192.598381,200,66.468366,-200.0,-192.59838092327118
-186.747845,200,66.660446,-200.0,-186.74784463644028
-193.728561,200,66.849598,-200.0,-193.72856098413467
-191.1565,200,67.039725,-200.0,-191.15650004148483
-198.677876,200,67.230894,-200.0,-198.67787623405457
-198.702963,200,67.420496,-200.0,-198.70296305418015
-191.473091,200,67.61266,-200.0,-191.47309124469757
-188.13404,200,67.802815,-200.0,-188.13404041528702
-193.387346,200,67.992645,-200.0,-193.38734596967697
-197.604295,200,68.182726,-200.0,-197.60429465770721
-191.201254,200,78.293143,-200.0,-191.201254427433
-192.956492,200,78.483325,-200.0,-192.95649200677872
-198.891536,200,78.674594,-200.0,-198.89153558015823
-182.994881,200,78.868277,-200.0,-182.99488109350204
-194.921323,200,80.409437,-200.0,-194.9213234782219
-196.053996,200,80.599374,-200.0,-196.05399596691132
-193.206468,200,80.791526,-200.0,-193.20646786689758
-195.929887,200,80.983505,-200.0,-195.9298870563507
-195.00245,200,81.176249,-200.0,-195.00244975090027
-198.469618,200,81.366879,-200.0,-198.4696175456047
-196.627267,200,90.211604,-200.0,-196.62726664543152
-199.234404,200,90.424139,-200.0,-199.23440355062485
-193.734154,200,90.617279,-200.0,-193.7341542840004
-195.364781,200,90.817154,-200.0,-195.364781498909
-199.145792,200,91.017024,-200.0,-199.14579248428345
-194.324007,200,91.226358,-200.0,-194.32400739192963
-192.253844,200,91.419243,-200.0,-192.25384402275085
-198.337786,200,91.61002,-200.0,-198.33778566122055
-198.619115,200,91.80341,-200.0,-198.6191150546074
-198.002084,200,92.001209,-200.0,-198.00208449363708
-193.686782,200,92.198399,-200.0,-193.68678158521652
-194.945219,200,102.866926,-200.0,-194.94521856307983
-185.398536,200,103.061047,-200.0,-185.39853554964066
-195.349879,200,103.251087,-200.0,-195.3498786687851
-195.400571,200,103.442075,-200.0,-195.40057116746902
-197.338825,200,103.631741,-200.0,-197.3388251066208
-198.843632,200,103.821935,-200.0,-198.8436315059662
-198.158739,200,104.012817,-200.0,-198.15873903036118
-198.359277,200,104.204943,-200.0,-198.3592773079872
-197.351411,200,105.781095,-200.0,-197.35141134262085
-182.497048,200,105.976969,-200.0,-182.49704825878143
-195.945286,200,114.482704,-200.0,-195.94528591632843
-196.630575,200,114.690356,-200.0,-196.630575299263
-196.461453,200,114.904191,-200.0,-196.46145260334015
-199.193143,200,115.112798,-200.0,-199.19314342737198
-189.697001,200,115.323869,-200.0,-189.69700145721436
-196.426861,200,115.520893,-200.0,-196.42686051130295
-187.680654,200,115.729165,-200.0,-187.68065398931503
-196.169258,200,115.921808,-200.0,-196.16925793886185
-191.175201,200,116.120161,-200.0,-191.17520093917847
-197.624514,200,116.328524,-200.0,-197.62451374530792
-195.671075,200,125.943679,-200.0,-195.6710748076439
-197.442114,200,126.160477,-200.0,-197.44211435317993
-177.793551,200,126.365552,-200.0,-177.7935506105423
-187.89342,200,126.585648,-200.0,-187.89341968297958
-195.887076,200,126.798786,-200.0,-195.88707566261292
-193.276812,200,127.008478,-200.0,-193.2768116593361
-191.467781,200,127.267325,-200.0,-191.46778148412704
-188.712358,200,127.500463,-200.0,-188.71235758066177
-195.22669,200,127.690703,-200.0,-195.22669035196304
-197.231879,200,127.902916,-200.0,-197.23187917470932
-192.220994,200,137.864749,-200.0,-192.22099351882935
-185.409873,200,138.058537,-200.0,-185.4098732471466
-197.234078,200,138.254623,-200.0,-197.23407769203186
-189.612062,200,139.812494,-200.0,-189.61206191778183
-182.201913,200,140.008724,-200.0,-182.20191311836243
-196.132887,200,140.220737,-200.0,-196.13288724422455
-189.94651,200,140.436526,-200.0,-189.94651049375534
-196.049263,200,140.638307,-200.0,-196.0492626428604
-188.213229,200,140.83623,-200.0,-188.21322870254517
-193.897904,200,141.041513,-200.0,-193.89790362119675
-167.756024,200,141.257187,-200.0,-167.7560237944126
-179.844326,200,150.333879,-200.0,-179.84432637691498
-193.939225,200,150.529206,-200.0,-193.9392245411873
-196.262272,200,150.722111,-200.0,-196.26227241754532
-193.062196,200,150.917075,-200.0,-193.0621963739395
-188.064733,200,151.115065,-200.0,-188.06473338603973
-194.895446,200,151.306912,-200.0,-194.8954463005066
-187.177738,200,151.500025,-200.0,-187.17773753404617
-195.688606,200,151.696922,-200.0,-195.6886055469513
-194.10624,200,151.894005,-200.0,-194.10624027252197
-185.061519,200,152.087133,-200.0,-185.06151908636093
-194.383619,200,160.995618,-200.0,-194.38361924886703
-146.221909,200,161.228967,-200.0,-146.22190945595503
-184.500853,200,161.514056,-200.0,-184.50085324048996
-188.499865,200,161.75675,-200.0,-188.49986535310745
-185.686156,200,161.978998,-200.0,-185.68615579605103
-184.062017,200,162.210905,-200.0,-184.06201672554016
-194.137625,200,162.458867,-200.0,-194.13762533664703
-167.643458,200,164.316981,-200.0,-167.6434583067894
-183.164149,200,164.537665,-200.0,-183.16414946317673
-180.855163,200,164.762786,-200.0,-180.85516339540482
-191.869134,200,175.404786,-200.0,-191.86913388967514
-177.252185,200,175.630754,-200.0,-177.2521851658821
-191.835956,200,175.851602,-200.0,-191.835955619812
-186.619645,200,176.081565,-200.0,-186.61964452266693
-180.095643,200,176.317876,-200.0,-180.09564262628555
-168.83218,200,176.560612,-200.0,-168.83218011260033
-186.425766,200,176.849841,-200.0,-186.42576617002487
-181.159894,200,177.102602,-200.0,-181.15989381074905
-189.579667,200,177.33484,-200.0,-189.57966685295105
-188.241458,200,177.612637,-200.0,-188.24145823717117
-188.960207,200,186.40201,-200.0,-188.96020656824112
-180.365077,200,186.654476,-200.0,-180.36507683992386
-173.096224,200,186.901435,-200.0,-173.09622395038605
-183.093862,200,187.129557,-200.0,-183.09386152029037
-158.515145,200,187.356694,-200.0,-158.51514539122581
-191.328352,200,187.581264,-200.0,-191.32835227251053
-188.350452,200,187.797454,-200.0,-188.35045194625854
-172.134724,200,188.014677,-200.0,-172.13472419977188
-173.19612,200,188.230117,-200.0,-173.1961204111576
-188.088586,200,188.44267,-200.0,-188.08858627080917
-186.775568,200,188.655407,-200.0,-186.77556788921356
-182.858779,200,198.529674,-200.0,-182.85877937078476
-180.491617,200,200.482426,-200.0,-180.49161732196808
-189.029522,200,200.719917,-200.0,-189.02952247858047
-186.489127,200,200.951144,-200.0,-186.489127099514
-172.445141,200,201.17829,-200.0,-172.44514060020447
-173.891202,200,201.40728,-200.0,-173.8912023305893
-185.257351,200,201.63234,-200.0,-185.257350564003
-182.271346,200,201.876738,-200.0,-182.27134597301483
-188.448306,200,202.136513,-200.0,-188.44830614328384
-170.909353,200,202.382807,-200.0,-170.90935289859772
-182.472952,200,211.560299,-200.0,-182.47295236587524
-183.779335,200,211.774868,-200.0,-183.77933531999588
-179.83996,200,211.995883,-200.0,-179.83995985984802
-181.883119,200,212.211037,-200.0,-181.8831189274788
-171.168537,200,212.427258,-200.0,-171.1685370206833
-179.491975,200,212.645981,-200.0,-179.49197506904602
-179.154547,200,212.863811,-200.0,-179.15454691648483
-178.185671,200,213.080848,-200.0,-178.18567115068436
-163.690809,200,213.299013,-200.0,-163.6908092200756
-164.074324,200,213.517822,-200.0,-164.0743236541748
-166.315098,200,223.875055,-200.0,-166.31509763002396
-162.120895,200,224.127438,-200.0,-162.12089467048645
-165.98561,200,224.381716,-200.0,-165.9856100678444
-180.995002,200,224.634078,-200.0,-180.99500209093094
-185.783301,200,224.865756,-200.0,-185.78330117464066
-177.03485,200,225.08983,-200.0,-177.034850358963
-176.22684,200,226.999725,-200.0,-176.2268404364586
-186.118701,200,227.218628,-200.0,-186.11870121955872
-186.076308,200,227.44219,-200.0,-186.07630801200867
-186.219058,200,227.656768,-200.0,-186.2190581560135
-173.684525,200,237.366156,-200.0,-173.68452483415604
-185.458299,200,237.594871,-200.0,-185.45829916000366
-159.759381,200,237.815142,-200.0,-159.7593812942505
-174.870891,200,238.038203,-200.0,-174.87089079618454
-177.113396,200,238.260691,-200.0,-177.11339551210403
-172.886396,200,238.486144,-200.0,-172.88639628887177
-181.056367,200,238.709062,-200.0,-181.05636662244797
-162.374589,200,238.934968,-200.0,-162.37458896636963
-187.682983,200,239.152735,-200.0,-187.68298268318176
-177.871319,200,239.378058,-200.0,-177.87131881713867
-186.058966,200,239.617099,-200.0,-186.0589663386345
-183.437682,200,249.599429,-200.0,-183.43768191337585
-179.615742,200,249.837163,-200.0,-179.61574244499207
-168.225914,200,250.06259,-200.0,-168.2259140610695
-176.278569,200,250.287478,-200.0,-176.27856862545013
-155.289778,200,250.513176,-200.0,-155.28977805376053
-163.683364,200,250.735351,-200.0,-163.68336415290833
-183.510074,200,250.955992,-200.0,-183.5100735425949
-162.140995,200,251.195356,-200.0,-162.1409952044487
-150.191976,200,251.440511,-200.0,-150.19197583198547
-178.341003,200,251.763291,-200.0,-178.34100258350372
-183.529935,200,262.690486,-200.0,-183.52993541955948
-170.252631,200,262.910211,-200.0,-170.2526314854622
-186.44423,200,263.141229,-200.0,-186.4442299604416
-166.647375,200,263.378283,-200.0,-166.64737549424171
-179.191449,200,263.623014,-200.0,-179.19144916534424
-154.21262,200,263.84623,-200.0,-154.2126198709011
-177.588085,200,264.098257,-200.0,-177.58808487653732
-158.926161,200,264.325333,-200.0,-158.92616146802902
-183.850465,200,264.569898,-200.0,-183.85046511888504
-166.155945,200,264.80725,-200.0,-166.1559447646141
-180.852686,200,274.527755,-200.0,-180.85268646478653
-173.610021,200,274.850722,-200.0,-173.6100208759308
-178.748946,200,275.076777,-200.0,-178.7489457130432
-181.627096,200,275.361804,-200.0,-181.62709575891495
-174.155813,200,275.658071,-200.0,-174.15581315755844
-167.940919,200,275.886929,-200.0,-167.94091939926147
-180.54317,200,276.117352,-200.0,-180.54316985607147
-168.396927,200,276.338917,-200.0,-168.39692693948746
-151.20619,200,276.565148,-200.0,-151.2061903178692
-171.195123,200,276.808225,-200.0,-171.19512289762497
-166.054493,200,288.11651,-200.0,-166.05449283123016
-151.838045,200,288.351723,-200.0,-151.83804515004158
-179.636979,200,288.594642,-200.0,-179.63697934150696
-175.892055,200,288.811872,-200.0,-175.8920549750328
-177.806082,200,289.021691,-200.0,-177.8060817718506
-150.992171,200,290.811892,-200.0,-150.99217146635056
-171.191847,200,291.146483,-200.0,-171.1918467283249
-178.451802,200,291.370466,-200.0,-178.45180195569992
-159.33898,200,291.586556,-200.0,-159.33897984027863
-179.292287,200,291.798814,-200.0,-179.29228681325912
-172.873795,200,292.027623,-200.0,-172.87379479408264
-157.882165,200,300.34057,-200.0,-157.882165402174
-156.400253,200,300.55947,-200.0,-156.40025287866592
-172.35138,200,300.799558,-200.0,-172.35137981176376
-169.148104,200,301.111154,-200.0,-169.14810413122177
-173.560572,200,301.351253,-200.0,-173.56057226657867
-169.969045,200,301.599276,-200.0,-169.96904546022415
-180.988652,200,301.829677,-200.0,-180.988651573658
-178.099265,200,302.063353,-200.0,-178.099265396595
-168.962934,200,302.296563,-200.0,-168.96293371915817
-182.977594,200,302.531641,-200.0,-182.97759401798248
-159.178084,200,312.91415,-200.0,-159.17808392643929
-158.479804,200,313.130448,-200.0,-158.47980397939682
-176.439314,200,313.337405,-200.0,-176.43931406736374
-165.283658,200,313.536176,-200.0,-165.28365802764893
-146.027652,200,313.733317,-200.0,-146.02765241265297
-184.926984,200,313.936145,-200.0,-184.92698419094086
-160.340256,200,314.138488,-200.0,-160.34025633335114
-167.780193,200,314.334288,-200.0,-167.78019326925278
-177.597312,200,314.524797,-200.0,-177.59731203317642
-178.288208,200,316.227834,-200.0,-178.28820836544037
-153.593714,200,325.332999,-200.0,-153.5937143266201
-173.070177,200,325.529352,-200.0,-173.07017701864243
-156.412665,200,325.727002,-200.0,-156.41266477108002
-179.835291,200,325.920278,-200.0,-179.8352907896042
-157.942947,200,326.117909,-200.0,-157.94294705986977
-157.611378,200,326.321026,-200.0,-157.61137828230858
-179.105127,200,326.522936,-200.0,-179.10512667894363
-171.904889,200,326.719974,-200.0,-171.90488857030869
-182.00777,200,326.926072,-200.0,-182.00777006149292
-179.544894,200,327.131498,-200.0,-179.54489398002625
-174.467019,200,337.663969,-200.0,-174.46701925992966
-168.471049,200,337.858642,-200.0,-168.4710492491722
-174.298988,200,338.06005,-200.0,-174.29898804426193
-177.491848,200,338.268977,-200.0,-177.49184828996658
-167.897693,200,338.464605,-200.0,-167.89769291877747
-163.473409,200,338.661895,-200.0,-163.47340947389603
-160.095624,200,338.855041,-200.0,-160.09562414884567
-151.158613,200,339.047002,-200.0,-151.15861251950264
-171.787218,200,339.248871,-200.0,-171.78721779584885
-177.262411,200,339.454938,-200.0,-177.26241129636765
-174.902039,200,348.89271,-200.0,-174.90203946828842
-178.872617,200,349.091428,-200.0,-178.87261658906937
-177.946141,200,349.284674,-200.0,-177.94614100456238
-166.46573,200,349.475864,-200.0,-166.46572989225388
-177.691893,200,351.057476,-200.0,-177.6918933391571
-155.679063,200,351.253951,-200.0,-155.6790626347065
-154.06981,200,351.448833,-200.0,-154.0698098540306
-169.557441,200,351.645622,-200.0,-169.55744099617004
-170.294691,200,351.838597,-200.0,-170.29469084739685
-182.528889,200,352.032898,-200.0,-182.52888870239258
-158.521753,200,352.224428,-200.0,-158.52175295352936
-152.990177,200,364.8452,-200.0,-152.99017736315727
-175.828396,200,365.040249,-200.0,-175.82839608192444
-178.836888,200,365.240458,-200.0,-178.83688801527023
-179.918392,200,365.44113,-200.0,-179.9183920621872
-177.41202,200,365.634463,-200.0,-177.4120203256607
-175.433769,200,365.833142,-200.0,-175.43376940488815
-159.606472,200,366.028209,-200.0,-159.6064720749855
-168.194869,200,366.222386,-200.0,-168.1948688030243
-178.889873,200,366.436412,-200.0,-178.88987332582474
-179.840814,200,366.637146,-200.0,-179.84081441164017
-144.46679,200,374.588394,-200.0,-144.4667904675007
-156.630837,200,374.783046,-200.0,-156.6308368742466
-162.097119,200,374.9758,-200.0,-162.09711894392967
-166.605892,200,375.165223,-200.0,-166.60589158535004
-182.032352,200,375.355385,-200.0,-182.03235185146332
-164.137089,200,375.548998,-200.0,-164.13708874583244
-158.650561,200,375.73816,-200.0,-158.6505607664585
-180.049639,200,375.935327,-200.0,-180.04963862895966
-156.486725,200,377.498282,-200.0,-156.48672524094582
-181.681663,200,377.689973,-200.0,-181.68166309595108
-149.563562,200,387.660765,-200.0,-149.5635620355606
-165.157921,200,387.857017,-200.0,-165.1579210460186
-175.32942,200,388.06271,-200.0,-175.32941979169846
-160.329663,200,388.271093,-200.0,-160.32966312766075
-148.944758,200,388.469704,-200.0,-148.94475787878036
-176.011361,200,388.664707,-200.0,-176.0113606452942
-173.548884,200,388.857985,-200.0,-173.54888427257538
-166.585091,200,389.046978,-200.0,-166.58509063720703
-151.053158,200,389.246836,-200.0,-151.05315797030926
-180.749792,200,389.443852,-200.0,-180.7497923374176
