#{"t_start": 1783768778.0970242, "env_id": "MountainCar-v0"}
r,l,t,original_reward,shaped_reward
-200.0,200,0.124466,-200.0,-200.0
-200.0,200,0.2253,-200.0,-200.0
-200.0,200,0.319401,-200.0,-200.0
-200.0,200,0.426352,-200.0,-200.0
-200.0,200,0.551976,-200.0,-200.0
-200.0,200,0.69202,-200.0,-200.0
-200.0,200,0.791804,-200.0,-200.0
-200.0,200,0.885478,-200.0,-200.0
-200.0,200,0.994223,-200.0,-200.0
-200.0,200,1.097483,-200.0,-200.0
-200.0,200,2.179631,-200.0,-200.0
-200.0,200,2.294007,-200.0,-200.0
-200.0,200,2.40082,-200.0,-200.0
-200.0,200,2.507886,-200.0,-200.0
-200.0,200,2.615391,-200.0,-200.0
-200.0,200,2.726184,-200.0,-200.0
-200.0,200,2.835523,-200.0,-200.0
-200.0,200,2.94058,-200.0,-200.0
-200.0,200,3.036272,-200.0,-200.0
-200.0,200,3.133131,-200.0,-200.0
-200.0,200,4.239626,-200.0,-200.0
-200.0,200,4.353473,-200.0,-200.0
-200.0,200,4.452221,-200.0,-200.0
-200.0,200,4.546159,-200.0,-200.0
-200.0,200,4.642842,-200.0,-200.0
-200.0,200,5.462545,-200.0,-200.0
-200.0,200,5.567311,-200.0,-200.0
-200.0,200,5.664121,-200.0,-200.0
-200.0,200,5.778524,-200.0,-200.0
-200.0,200,5.886287,-200.0,-200.0
-200.0,200,6.959475,-200.0,-200.0
-200.0,200,7.066438,-200.0,-200.0
-200.0,200,7.167361,-200.0,-200.0
-200.0,200,7.261082,-200.0,-200.0
-200.0,200,7.364164,-200.0,-200.0
-200.0,200,7.473019,-200.0,-200.0
-200.0,200,7.575163,-200.0,-200.0
-200.0,200,7.67622,-200.0,-200.0
-200.0,200,7.789123,-200.0,-200.0
-200.0,200,7.910336,-200.0,-200.0
-200.0,200,8.981245,-200.0,-200.0
-200.0,200,9.090004,-200.0,-200.0
-200.0,200,9.19725,-200.0,-200.0
-200.0,200,9.303682,-200.0,-200.0
-200.0,200,9.40454,-200.0,-200.0
-200.0,200,9.504311,-200.0,-200.0
-200.0,200,9.598251,-200.0,-200.0
-200.0,200,9.696352,-200.0,-200.0
-200.0,200,9.791063,-200.0,-200.0
-200.0,200,9.897044,-200.0,-200.0
-200.0,200,10.733428,-200.0,-200.0
-200.0,200,11.832523,-200.0,-200.0
-200.0,200,11.947414,-200.0,-200.0
-200.0,200,12.042367,-200.0,-200.0
-200.0,200,12.139986,-200.0,-200.0
-200.0,200,12.236281,-200.0,-200.0
-200.0,200,12.348538,-200.0,-200.0
-200.0,200,12.447133,-200.0,-200.0
-200.0,200,12.546317,-200.0,-200.0
-200.0,200,12.651984,-200.0,-200.0
-200.0,200,12.749382,-200.0,-200.0
-200.0,200,13.803638,-200.0,-200.0
-200.0,200,13.916069,-200.0,-200.0
-200.0,200,14.015009,-200.0,-200.0
-200.0,200,14.118317,-200.0,-200.0
-200.0,200,14.219232,-200.0,-200.0
-200.0,200,14.323182,-200.0,-200.0
-200.0,200,14.465158,-200.0,-200.0
-200.0,200,14.576187,-200.0,-200.0
-200.0,200,14.68433,-200.0,-200.0
-200.0,200,14.794093,-200.0,-200.0
-200.0,200,15.854373,-200.0,-200.0
-200.0,200,15.970106,-200.0,-200.0
-200.0,200,16.06914,-200.0,-200.0
-200.0,200,16.164687,-200.0,-200.0
-200.0,200,17.037275,-200.0,-200.0
-200.0,200,17.141354,-200.0,-200.0
-200.0,200,17.249214,-200.0,-200.0
-200.0,200,17.358196,-200.0,-200.0
-200.0,200,17.465958,-200.0,-200.0
-200.0,200,17.57496,-200.0,-200.0
-200.0,200,18.648944,-200.0,-200.0
-200.0,200,18.762195,-200.0,-200.0
-200.0,200,18.863951,-200.0,-200.0
-200.0,200,18.964967,-200.0,-200.0
-200.0,200,19.063385,-200.0,-200.0
-200.0,200,19.159187,-200.0,-200.0
