#{"t_start": 1783795142.9179416, "env_id": "MountainCar-v0"}
r,l,t,original_reward,shaped_reward
-200.022213,200,0.120477,-200.0,-200.02221286639437
-200.016015,200,0.227337,-200.0,-200.01601500587898
-200.021511,200,0.33306,-200.0,-200.02151131989112
-200.064012,200,0.435029,-200.0,-200.06401234786654
-200.018394,200,0.543205,-200.0,-200.0183943024703
-200.208807,200,0.645106,-200.0,-200.20880651150603
-200.024501,200,0.748278,-200.0,-200.02450144522984
-200.063752,200,0.852035,-200.0,-200.06375157088894
-200.104701,200,0.951915,-200.0,-200.10470083133342
-200.026214,200,1.059194,-200.0,-200.02621352541283
-200.061684,200,1.925041,-200.0,-200.06168369977559
-200.098697,200,2.031248,-200.0,-200.0986974396486
-200.044346,200,2.139108,-200.0,-200.04434566156647
-200.025155,200,2.245223,-200.0,-200.02515484403258
-200.150494,200,2.349935,-200.0,-200.15049385194192
-200.055716,200,2.451365,-200.0,-200.05571590137046
-200.061458,200,2.553814,-200.0,-200.06145769267422
-200.090229,200,2.657876,-200.0,-200.0902291426432
-200.121797,200,2.797056,-200.0,-200.12179731496892
-200.004698,200,2.932009,-200.0,-200.0046976063186
-200.041889,200,4.042893,-200.0,-200.04188851078615
-200.136775,200,4.166037,-200.0,-200.13677458771966
-200.018915,200,4.293086,-200.0,-200.01891512109873
-200.040846,200,4.420922,-200.0,-200.04084616809277
-200.01845,200,4.538058,-200.0,-200.01845037489846
-200.028776,200,5.389332,-200.0,-200.0287760360644
-200.095994,200,5.494089,-200.0,-200.0959943633463
-200.023187,200,5.596846,-200.0,-200.0231865915582
-200.045834,200,5.698989,-200.0,-200.04583424317323
-200.004266,200,5.803125,-200.0,-200.0042657531965
-200.147211,200,6.679633,-200.0,-200.14721134918747
-200.069454,200,6.781769,-200.0,-200.0694542729704
-200.026813,200,6.891228,-200.0,-200.02681346153804
-200.023775,200,6.996987,-200.0,-200.02377500170343
-200.159392,200,7.105135,-200.0,-200.1593919905739
-200.074833,200,7.209198,-200.0,-200.07483277539393
-200.131185,200,7.312956,-200.0,-200.1311853057448
-200.0059,200,7.421091,-200.0,-200.0059001795851
-200.101521,200,7.524812,-200.0,-200.10152093427257
-200.075853,200,7.628985,-200.0,-200.07585332480264
-200.029218,200,8.559778,-200.0,-200.0292175405348
-200.013743,200,8.669073,-200.0,-200.01374254713912
-200.102378,200,8.772841,-200.0,-200.10237817384902
-200.072801,200,8.87832,-200.0,-200.07280074048725
-200.049425,200,8.985077,-200.0,-200.04942536603096
-200.209863,200,9.091648,-200.0,-200.20986310507175
-200.095324,200,9.202143,-200.0,-200.0953235768885
-200.023454,200,9.30785,-200.0,-200.0234539509007
-200.061487,200,9.412023,-200.0,-200.0614873659996
-200.023284,200,9.517781,-200.0,-200.02328360425759
-200.11681,200,10.361744,-200.0,-200.11680984834334
-200.106493,200,11.246871,-200.0,-200.1064928820517
-200.086619,200,11.352007,-200.0,-200.0866190064667
-200.183382,200,11.457144,-200.0,-200.18338168425032
-200.065934,200,11.562909,-200.0,-200.06593429266408
-200.088461,200,11.671079,-200.0,-200.088460688142
-200.04817,200,11.77488,-200.0,-200.0481701888313
-200.103536,200,11.878199,-200.0,-200.10353574090664
-200.04068,200,11.980786,-200.0,-200.04067985339557
-200.106897,200,12.082438,-200.0,-200.10689676401472
-200.077088,200,12.187217,-200.0,-200.07708751736374
-200.044098,200,13.05905,-200.0,-200.04409786062791
-200.031504,200,13.166934,-200.0,-200.03150367811836
-200.050737,200,13.275106,-200.0,-200.0507372552811
-200.040944,200,13.40869,-200.0,-200.04094438508315
-200.136836,200,13.520707,-200.0,-200.13683647465422
-200.101645,200,13.641321,-200.0,-200.10164471456574
-200.026563,200,13.766974,-200.0,-200.0265630127543
-200.063106,200,13.87261,-200.0,-200.06310562115968
-200.04956,200,13.978894,-200.0,-200.04956003559164
-200.036003,200,14.089733,-200.0,-200.0360030956865
-200.053742,200,14.980788,-200.0,-200.0537420329976
-200.163991,200,15.090629,-200.0,-200.16399064798756
-200.07127,200,15.196045,-200.0,-200.07126975848132
-200.099288,200,15.303917,-200.0,-200.0992883986244
-200.033205,200,16.141024,-200.0,-200.03320539477758
-200.138524,200,16.250637,-200.0,-200.1385243593955
-200.103257,200,16.354774,-200.0,-200.10325724086175
-200.006967,200,16.457939,-200.0,-200.0069666724499
-200.05741,200,16.560667,-200.0,-200.05740957978676
-200.097553,200,16.663737,-200.0,-200.0975533447338
-200.024193,200,17.532822,-200.0,-200.02419302079932
-200.07735,200,17.640132,-200.0,-200.07735011580027
-200.067204,200,17.762851,-200.0,-200.06720409487446
-200.040413,200,17.883937,-200.0,-200.04041322490488
-200.053422,200,18.002847,-200.0,-200.05342153850916
-200.170145,200,18.115659,-200.0,-200.17014477895123
-200.054239,200,18.228912,-200.0,-200.0542394068172
-200.021717,200,18.340645,-200.0,-200.02171744652938
-200.052619,200,18.454824,-200.0,-200.05261893779567
-200.032585,200,18.564001,-200.0,-200.032584875347
-200.135691,200,18.702127,-200.0,-200.13569137001937
-200.016086,200,19.774925,-200.0,-200.01608557573013
-200.043761,200,19.88689,-200.0,-200.04376066502832
-200.075528,200,19.998091,-200.0,-200.07552801072435
-200.128321,200,20.099513,-200.0,-200.12832135443287
-200.061317,200,20.20699,-200.0,-200.06131672190034
-200.078397,200,20.311754,-200.0,-200.07839725929222
-200.120368,200,20.416852,-200.0,-200.120368145717
-200.031547,200,20.525942,-200.0,-200.03154686984976
-200.038511,200,21.403701,-200.0,-200.03851103586754
-200.129065,200,21.508925,-200.0,-200.12906472386354
-200.019241,200,22.386583,-200.0,-200.01924125851116
-200.048108,200,22.492719,-200.0,-200.04810764075899
-200.190649,200,22.596449,-200.0,-200.19064879203503
-200.013783,200,22.701312,-200.0,-200.01378274840314
-200.116584,200,22.806033,-200.0,-200.11658357410224
-200.049146,200,22.909854,-200.0,-200.04914617376622
-200.115773,200,23.019613,-200.0,-200.11577266319247
-200.038844,200,23.12565,-200.0,-200.03884372474198
